age_group,paf,location
10_to_14,0.35903063857479817,pakistan
15_to_19,0.287729159109089,pakistan
20_to_24,0.24537433293475422,pakistan
25_to_29,0.25055548050769105,pakistan
30_to_34,0.24578168482506144,pakistan
35_to_39,0.25934201009134406,pakistan
40_to_44,0.26822499425259383,pakistan
45_to_49,0.2666788340973127,pakistan
50_to_54,0.30611590469912875,pakistan
