location,age_group,maternal_hemorrhage_paf,maternal_sepsis_and_other_maternal_infections_paf,depressive_disorders_paf,draw,location_run
ethiopia,10_to_14,0.15226465894678806,0.2453490098327288,0.07013149811705408,109,ethiopia
ethiopia,15_to_19,0.12930224731002624,0.21775788787165376,0.062126610794099806,109,ethiopia
ethiopia,20_to_24,0.15412476405354034,0.24657196552813418,0.07129557260068493,109,ethiopia
ethiopia,25_to_29,0.16424760584223438,0.2595984636319293,0.0760335790680757,109,ethiopia
ethiopia,30_to_34,0.16972736650090053,0.26530629126928795,0.0777084697507029,109,ethiopia
ethiopia,35_to_39,0.15233589057194755,0.2448183261713543,0.0708862802477296,109,ethiopia
ethiopia,40_to_44,0.14611476494153014,0.23840183089628428,0.06887236616866689,109,ethiopia
ethiopia,45_to_49,0.143545384160368,0.2347195513798856,0.0679771225303139,109,ethiopia
ethiopia,50_to_54,0.14245488443581694,0.21995178927259373,0.06143795817322034,109,ethiopia
