location,age_group,maternal_hemorrhage_paf,maternal_sepsis_and_other_maternal_infections_paf,depressive_disorders_paf,draw,location_run
ethiopia,10_to_14,0.031192476873584146,0.10929859397222742,0.0049921808501656355,178,ethiopia
ethiopia,15_to_19,0.019784839220818563,0.07411623262274417,0.0032022649663740205,178,ethiopia
ethiopia,20_to_24,0.02471044102073769,0.0871700907599229,0.003779861104572768,178,ethiopia
ethiopia,25_to_29,0.02611806149999033,0.09136610007160449,0.0039907573198595305,178,ethiopia
ethiopia,30_to_34,0.028245810854541586,0.09647230737126473,0.004212762851265394,178,ethiopia
ethiopia,35_to_39,0.024313644953240704,0.088673941617593,0.003962205149453546,178,ethiopia
ethiopia,40_to_44,0.023908763821507688,0.08764636827005672,0.003913385811915436,178,ethiopia
ethiopia,45_to_49,0.02267985343781782,0.08442586265780572,0.003769125965540833,178,ethiopia
ethiopia,50_to_54,0.029393895963400408,0.1049128411895052,0.004765889148788513,178,ethiopia
