location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
ethiopia,10_to_14,0.3887786925874037,0.17996124130040694,0.03172122705199187,,,,,170,ethiopia
ethiopia,15_to_19,0.2945886341625249,0.1684195051809869,0.0319628033215051,,,,,170,ethiopia
ethiopia,20_to_24,0.3235475987835587,0.17932882845468057,0.03384770360099267,,,,,170,ethiopia
ethiopia,25_to_29,0.3337344092953131,0.18593571797389583,0.03532362266767926,,,,,170,ethiopia
ethiopia,30_to_34,0.35318615669600717,0.19129369445387454,0.036064597003698406,,,,,170,ethiopia
ethiopia,35_to_39,0.3311670143423427,0.1727576196297743,0.031659561880047926,,,,,170,ethiopia
ethiopia,40_to_44,0.3319997587019678,0.1705699529832029,0.031054191841998275,,,,,170,ethiopia
ethiopia,45_to_49,0.3166242340805877,0.16951239745124924,0.03127501544826168,,,,,170,ethiopia
ethiopia,50_to_54,0.37969019395540177,0.17597073941756086,0.030993904805945244,,,,,170,ethiopia
ethiopia,N/A,,,,0.21659804278752418,0.20733403779412288,0.21161999981854854,0.2104155640231207,170,ethiopia
