location,age_group,maternal_hemorrhage_paf,maternal_sepsis_and_other_maternal_infections_paf,depressive_disorders_paf,draw,location_run
ethiopia,10_to_14,0.34601592212500143,0.41578216093980774,0.14586596209467914,146,ethiopia
ethiopia,15_to_19,0.3220195715411634,0.39046575385082927,0.1334873801933458,146,ethiopia
ethiopia,20_to_24,0.3681168421227731,0.42802599969655025,0.15010899533458788,146,ethiopia
ethiopia,25_to_29,0.38646871214922396,0.4439612708840035,0.15790950345814925,146,ethiopia
ethiopia,30_to_34,0.39457376337521877,0.45073041826945354,0.16126860266500498,146,ethiopia
ethiopia,35_to_39,0.3536698049463047,0.42356701798136753,0.1505478296595141,146,ethiopia
ethiopia,40_to_44,0.3574708487285465,0.4247052234470404,0.15074749265033957,146,ethiopia
ethiopia,45_to_49,0.34352489416341686,0.4163881478773447,0.1486725738960525,146,ethiopia
ethiopia,50_to_54,0.35919857387494336,0.41076260854937213,0.14071271101576727,146,ethiopia
