location,age_group,maternal_hemorrhage_paf,maternal_sepsis_and_other_maternal_infections_paf,depressive_disorders_paf,draw,location_run
ethiopia,10_to_14,0.27218265049582646,0.38491649820573587,0.14777827084976472,79,ethiopia
ethiopia,15_to_19,0.24653336584755076,0.33606109063214856,0.11536751796731111,79,ethiopia
ethiopia,20_to_24,0.2968143712948295,0.3848255165373181,0.13671118794873138,79,ethiopia
ethiopia,25_to_29,0.30889201937243504,0.3971796224730159,0.1429890388264531,79,ethiopia
ethiopia,30_to_34,0.31661739915354564,0.40626190026313896,0.14771896291137585,79,ethiopia
ethiopia,35_to_39,0.2769138857244425,0.37929398497733047,0.14037162196133574,79,ethiopia
ethiopia,40_to_44,0.25915205319339607,0.3620947716269817,0.13221353497679134,79,ethiopia
ethiopia,45_to_49,0.253440501585187,0.3561920860706148,0.12996477138833834,79,ethiopia
ethiopia,50_to_54,0.28591252511134413,0.404918550331714,0.15510314831882993,79,ethiopia
