location,sex,draw,exposure,value,outcome
ethiopia,Male,draw_146,50.02002,-0.6220176495740586,gestational_age
ethiopia,Male,draw_146,50.13013,-0.6208875502503075,gestational_age
ethiopia,Male,draw_146,50.24024,-0.6197538135695062,gestational_age
ethiopia,Male,draw_146,50.35035,-0.6186232015942341,gestational_age
ethiopia,Male,draw_146,50.46046,-0.6174924447114599,gestational_age
ethiopia,Male,draw_146,50.57057,-0.6163609661193311,gestational_age
ethiopia,Male,draw_146,50.68068,-0.6152307390178596,gestational_age
ethiopia,Male,draw_146,50.79079,-0.6140990367049569,gestational_age
ethiopia,Male,draw_146,50.9009,-0.6129716216885951,gestational_age
ethiopia,Male,draw_146,51.01101,-0.6118402329101169,gestational_age
ethiopia,Male,draw_146,51.12112,-0.6107120343476843,gestational_age
ethiopia,Male,draw_146,51.23123,-0.6095826982277913,gestational_age
ethiopia,Male,draw_146,51.34134,-0.6084530429579434,gestational_age
ethiopia,Male,draw_146,51.45145,-0.6073253398758948,gestational_age
ethiopia,Male,draw_146,51.56156,-0.6061965718650381,gestational_age
ethiopia,Male,draw_146,51.67167,-0.6050708459080124,gestational_age
ethiopia,Male,draw_146,51.78178,-0.6039432865250889,gestational_age
ethiopia,Male,draw_146,51.89189,-0.6028160049393351,gestational_age
ethiopia,Male,draw_146,52.002,-0.6016893677139243,gestational_age
ethiopia,Male,draw_146,52.11211,-0.6005607730490038,gestational_age
ethiopia,Male,draw_146,52.22222,-0.5994341608838121,gestational_age
ethiopia,Male,draw_146,52.33233,-0.5983112518052217,gestational_age
ethiopia,Male,draw_146,52.44244,-0.5971850257090291,gestational_age
ethiopia,Male,draw_146,52.55255,-0.5960591760078626,gestational_age
ethiopia,Male,draw_146,52.66266,-0.5949336238113205,gestational_age
ethiopia,Male,draw_146,52.77277,-0.5938090810024967,gestational_age
ethiopia,Male,draw_146,52.88288,-0.5926854225458092,gestational_age
ethiopia,Male,draw_146,52.99299,-0.5915627754919897,gestational_age
ethiopia,Male,draw_146,53.1031,-0.5904361162245019,gestational_age
ethiopia,Male,draw_146,53.21321,-0.5893131374496426,gestational_age
ethiopia,Male,draw_146,53.32332,-0.5881902038754065,gestational_age
ethiopia,Male,draw_146,53.43343,-0.5870704653168705,gestational_age
ethiopia,Male,draw_146,53.54354,-0.5859476883891956,gestational_age
ethiopia,Male,draw_146,53.65365,-0.5848249216504536,gestational_age
ethiopia,Male,draw_146,53.76376,-0.5837030648765371,gestational_age
ethiopia,Male,draw_146,53.87387,-0.5825830003358088,gestational_age
ethiopia,Male,draw_146,53.98398,-0.5814592333823326,gestational_age
ethiopia,Male,draw_146,54.09409,-0.5803411055646672,gestational_age
ethiopia,Male,draw_146,54.2042,-0.5792174515666891,gestational_age
ethiopia,Male,draw_146,54.31431,-0.5780998564595706,gestational_age
ethiopia,Male,draw_146,54.42442,-0.576978921812399,gestational_age
ethiopia,Male,draw_146,54.53453,-0.5758562483796645,gestational_age
ethiopia,Male,draw_146,54.64464,-0.5747372323725409,gestational_age
ethiopia,Male,draw_146,54.75475,-0.5736225563357495,gestational_age
ethiopia,Male,draw_146,54.86486,-0.5725033035624801,gestational_age
ethiopia,Male,draw_146,54.97497,-0.5713844494062228,gestational_age
ethiopia,Male,draw_146,55.08509,-0.5702658358571531,gestational_age
ethiopia,Male,draw_146,55.1952,-0.5691485091269863,gestational_age
ethiopia,Male,draw_146,55.30531,-0.5680308569675631,gestational_age
ethiopia,Male,draw_146,55.41542,-0.5669149539614713,gestational_age
ethiopia,Male,draw_146,55.52553,-0.5657954221043139,gestational_age
ethiopia,Male,draw_146,55.63564,-0.564679518618318,gestational_age
ethiopia,Male,draw_146,55.74575,-0.5635630427206242,gestational_age
ethiopia,Male,draw_146,55.85586,-0.5624517997080488,gestational_age
ethiopia,Male,draw_146,55.96597,-0.5613337141629436,gestational_age
ethiopia,Male,draw_146,56.07608,-0.5602182732868132,gestational_age
ethiopia,Male,draw_146,56.18619,-0.5591027471359762,gestational_age
ethiopia,Male,draw_146,56.2963,-0.5579899889007194,gestational_age
ethiopia,Male,draw_146,56.40641,-0.556873513108563,gestational_age
ethiopia,Male,draw_146,56.51652,-0.5557623129018837,gestational_age
ethiopia,Male,draw_146,56.62663,-0.5546485947223155,gestational_age
ethiopia,Male,draw_146,56.73674,-0.5535335544880449,gestational_age
ethiopia,Male,draw_146,56.84685,-0.5524203058050615,gestational_age
ethiopia,Male,draw_146,56.95696,-0.5513071414812296,gestational_age
ethiopia,Male,draw_146,57.06707,-0.5501947309923648,gestational_age
ethiopia,Male,draw_146,57.17718,-0.5490849369367349,gestational_age
ethiopia,Male,draw_146,57.28729,-0.5479736855163813,gestational_age
ethiopia,Male,draw_146,57.3974,-0.546862210879941,gestational_age
ethiopia,Male,draw_146,57.50751,-0.5457504063022103,gestational_age
ethiopia,Male,draw_146,57.61762,-0.5446389307104169,gestational_age
ethiopia,Male,draw_146,57.72773,-0.543528384066034,gestational_age
ethiopia,Male,draw_146,57.83784,-0.5424205981942245,gestational_age
ethiopia,Male,draw_146,57.94795,-0.54130762618739,gestational_age
ethiopia,Male,draw_146,58.05806,-0.540199945222723,gestational_age
ethiopia,Male,draw_146,58.16817,-0.5390912579259862,gestational_age
ethiopia,Male,draw_146,58.27828,-0.5379816055403327,gestational_age
ethiopia,Male,draw_146,58.38839,-0.5368728783162207,gestational_age
ethiopia,Male,draw_146,58.4985,-0.5357652903367682,gestational_age
ethiopia,Male,draw_146,58.60861,-0.5346566698180119,gestational_age
ethiopia,Male,draw_146,58.71872,-0.5335496911466066,gestational_age
ethiopia,Male,draw_146,58.82883,-0.5324441721279608,gestational_age
ethiopia,Male,draw_146,58.93894,-0.5313368073256642,gestational_age
ethiopia,Male,draw_146,59.04905,-0.5302297572107543,gestational_age
ethiopia,Male,draw_146,59.15916,-0.5291226192171518,gestational_age
ethiopia,Male,draw_146,59.26927,-0.528018446469465,gestational_age
ethiopia,Male,draw_146,59.37938,-0.5269109074589381,gestational_age
ethiopia,Male,draw_146,59.48949,-0.5258090920791345,gestational_age
ethiopia,Male,draw_146,59.5996,-0.5247014052656989,gestational_age
ethiopia,Male,draw_146,59.70971,-0.5235975685258596,gestational_age
ethiopia,Male,draw_146,59.81982,-0.5224919430489912,gestational_age
ethiopia,Male,draw_146,59.92993,-0.5213867633184895,gestational_age
ethiopia,Male,draw_146,60.04004,-0.5202840092501885,gestational_age
ethiopia,Male,draw_146,60.15015,-0.5191810443706633,gestational_age
ethiopia,Male,draw_146,60.26026,-0.5180785117507424,gestational_age
ethiopia,Male,draw_146,60.37037,-0.5169752763915757,gestational_age
ethiopia,Male,draw_146,60.48048,-0.5158750260066461,gestational_age
ethiopia,Male,draw_146,60.59059,-0.5147720017310372,gestational_age
ethiopia,Male,draw_146,60.7007,-0.5136701812794124,gestational_age
ethiopia,Male,draw_146,60.81081,-0.512568848463843,gestational_age
ethiopia,Male,draw_146,60.92092,-0.5114660867438944,gestational_age
ethiopia,Male,draw_146,61.03103,-0.5103683703052505,gestational_age
ethiopia,Male,draw_146,61.14114,-0.5092680444840829,gestational_age
ethiopia,Male,draw_146,61.25125,-0.5081645162826905,gestational_age
ethiopia,Male,draw_146,61.36136,-0.5070665691172459,gestational_age
ethiopia,Male,draw_146,61.47147,-0.5059681881186913,gestational_age
ethiopia,Male,draw_146,61.58158,-0.5048690860525175,gestational_age
ethiopia,Male,draw_146,61.69169,-0.503767504574275,gestational_age
ethiopia,Male,draw_146,61.8018,-0.502671340338567,gestational_age
ethiopia,Male,draw_146,61.91191,-0.5015716757817191,gestational_age
ethiopia,Male,draw_146,62.02202,-0.500474549651796,gestational_age
ethiopia,Male,draw_146,62.13213,-0.4993784219473154,gestational_age
