location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_94,40.0,172.7082390145187,birth_weight
ethiopia,Female,draw_94,40.11011,172.8911035675523,birth_weight
ethiopia,Female,draw_94,40.22022,173.073905355796,birth_weight
ethiopia,Female,draw_94,40.33033,173.25665294256532,birth_weight
ethiopia,Female,draw_94,40.44044,173.43935476667713,birth_weight
ethiopia,Female,draw_94,40.55055,173.62201778893916,birth_weight
ethiopia,Female,draw_94,40.66066,173.8046228924377,birth_weight
ethiopia,Female,draw_94,40.77077,173.9871956814929,birth_weight
ethiopia,Female,draw_94,40.88088,174.16970701646966,birth_weight
ethiopia,Female,draw_94,40.99099,174.3521378676698,birth_weight
ethiopia,Female,draw_94,41.1011,174.53451562156357,birth_weight
ethiopia,Female,draw_94,41.21121,174.71687783496873,birth_weight
ethiopia,Female,draw_94,41.32132,174.89513666866895,birth_weight
ethiopia,Female,draw_94,41.43143,174.86515220160794,birth_weight
ethiopia,Female,draw_94,41.54154,174.83514166336505,birth_weight
ethiopia,Female,draw_94,41.65165,174.80512600103407,birth_weight
ethiopia,Female,draw_94,41.76176,174.77505639897714,birth_weight
ethiopia,Female,draw_94,41.87187,174.74500955316614,birth_weight
ethiopia,Female,draw_94,41.98198,174.71493864946507,birth_weight
ethiopia,Female,draw_94,42.09209,174.68484325243304,birth_weight
ethiopia,Female,draw_94,42.2022,174.6547426398502,birth_weight
ethiopia,Female,draw_94,42.31231,174.62462216061698,birth_weight
ethiopia,Female,draw_94,42.42242,174.59444645068777,birth_weight
ethiopia,Female,draw_94,42.53253,174.5642799157465,birth_weight
ethiopia,Female,draw_94,42.64264,174.53409454873395,birth_weight
ethiopia,Female,draw_94,42.75275,174.5039106043235,birth_weight
ethiopia,Female,draw_94,42.86286,174.4736915972718,birth_weight
ethiopia,Female,draw_94,42.97297,174.44346773549904,birth_weight
ethiopia,Female,draw_94,43.08308,174.4132064701122,birth_weight
ethiopia,Female,draw_94,43.19319,174.38291895137172,birth_weight
ethiopia,Female,draw_94,43.3033,174.3526346759998,birth_weight
ethiopia,Female,draw_94,43.41341,174.32233547260682,birth_weight
ethiopia,Female,draw_94,43.52352,174.29202063043743,birth_weight
ethiopia,Female,draw_94,43.63363,174.26168041438575,birth_weight
ethiopia,Female,draw_94,43.74374,174.23133358194576,birth_weight
ethiopia,Female,draw_94,43.85385,174.20092276961856,birth_weight
ethiopia,Female,draw_94,43.96396,174.170531876555,birth_weight
ethiopia,Female,draw_94,44.07407,174.14012215069386,birth_weight
ethiopia,Female,draw_94,44.18418,174.1096990051634,birth_weight
ethiopia,Female,draw_94,44.29429,174.0793433908334,birth_weight
ethiopia,Female,draw_94,44.4044,174.0488921060396,birth_weight
ethiopia,Female,draw_94,44.51451,174.0183957746396,birth_weight
ethiopia,Female,draw_94,44.62462,173.98787187228623,birth_weight
ethiopia,Female,draw_94,44.73473,173.9573728284825,birth_weight
ethiopia,Female,draw_94,44.84484,173.92683579371032,birth_weight
ethiopia,Female,draw_94,44.95495,173.8962846153683,birth_weight
ethiopia,Female,draw_94,45.06507,173.86563894583713,birth_weight
ethiopia,Female,draw_94,45.17518,173.83506041927524,birth_weight
ethiopia,Female,draw_94,45.28529,173.80442501330714,birth_weight
ethiopia,Female,draw_94,45.3954,173.77381028153457,birth_weight
ethiopia,Female,draw_94,45.50551,173.7431697997494,birth_weight
