location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_79,40.0,167.07106866096262,birth_weight
ethiopia,Female,draw_79,40.11011,167.04523740403795,birth_weight
ethiopia,Female,draw_79,40.22022,167.01938059865722,birth_weight
ethiopia,Female,draw_79,40.33033,166.99348962338524,birth_weight
ethiopia,Female,draw_79,40.44044,166.9676080147741,birth_weight
ethiopia,Female,draw_79,40.55055,166.94171679912336,birth_weight
ethiopia,Female,draw_79,40.66066,166.91580532048482,birth_weight
ethiopia,Female,draw_79,40.77077,166.88988895190346,birth_weight
ethiopia,Female,draw_79,40.88088,166.8639430172774,birth_weight
ethiopia,Female,draw_79,40.99099,166.83796392397716,birth_weight
ethiopia,Female,draw_79,41.1011,166.81198743307272,birth_weight
ethiopia,Female,draw_79,41.21121,166.78599673181526,birth_weight
ethiopia,Female,draw_79,41.32132,166.7600119756753,birth_weight
ethiopia,Female,draw_79,41.43143,166.73399809308148,birth_weight
ethiopia,Female,draw_79,41.54154,166.70797190610705,birth_weight
ethiopia,Female,draw_79,41.65165,166.6819211801295,birth_weight
ethiopia,Female,draw_79,41.76176,166.65584378163328,birth_weight
ethiopia,Female,draw_79,41.87187,166.62976272229753,birth_weight
ethiopia,Female,draw_79,41.98198,166.60368361775653,birth_weight
ethiopia,Female,draw_79,42.09209,166.5775811507305,birth_weight
ethiopia,Female,draw_79,42.2022,166.55146836813003,birth_weight
ethiopia,Female,draw_79,42.31231,166.5253432924289,birth_weight
ethiopia,Female,draw_79,42.42242,166.49916843579382,birth_weight
ethiopia,Female,draw_79,42.53253,166.47300451987996,birth_weight
ethiopia,Female,draw_79,42.64264,166.44683335032528,birth_weight
ethiopia,Female,draw_79,42.75275,166.42064483480038,birth_weight
ethiopia,Female,draw_79,42.86286,166.3944346495433,birth_weight
ethiopia,Female,draw_79,42.97297,166.3682173678083,birth_weight
ethiopia,Female,draw_79,43.08308,166.34196824785448,birth_weight
ethiopia,Female,draw_79,43.19319,166.31571046553944,birth_weight
ethiopia,Female,draw_79,43.3033,166.28944409763062,birth_weight
ethiopia,Female,draw_79,43.41341,166.26316809569607,birth_weight
ethiopia,Female,draw_79,43.52352,166.23687216494022,birth_weight
ethiopia,Female,draw_79,43.63363,166.21057131998288,birth_weight
ethiopia,Female,draw_79,43.74374,166.18425135834622,birth_weight
ethiopia,Female,draw_79,43.85385,166.15787770893024,birth_weight
ethiopia,Female,draw_79,43.96396,166.13152535802777,birth_weight
ethiopia,Female,draw_79,44.07407,166.10515316369663,birth_weight
ethiopia,Female,draw_79,44.18418,166.07878108693438,birth_weight
ethiopia,Female,draw_79,44.29429,166.0524681905476,birth_weight
ethiopia,Female,draw_79,44.4044,166.0260574506031,birth_weight
ethiopia,Female,draw_79,44.51451,165.9996300563442,birth_weight
ethiopia,Female,draw_79,44.62462,165.9731686050987,birth_weight
ethiopia,Female,draw_79,44.73473,165.94670902296184,birth_weight
ethiopia,Female,draw_79,44.84484,165.920242971631,birth_weight
ethiopia,Female,draw_79,44.95495,165.89376846635656,birth_weight
ethiopia,Female,draw_79,45.06507,165.8671873084569,birth_weight
ethiopia,Female,draw_79,45.17518,165.84067738420953,birth_weight
ethiopia,Female,draw_79,45.28529,165.81412218275665,birth_weight
ethiopia,Female,draw_79,45.3954,165.78757831764278,birth_weight
ethiopia,Female,draw_79,45.50551,165.76101809792425,birth_weight
ethiopia,Female,draw_79,45.61562,165.73445076588757,birth_weight
ethiopia,Female,draw_79,45.72573,165.70786774488704,birth_weight
ethiopia,Female,draw_79,45.83584,165.68127743233885,birth_weight
ethiopia,Female,draw_79,45.94595,165.65464316331196,birth_weight
ethiopia,Female,draw_79,46.05606,165.62799980394038,birth_weight
ethiopia,Female,draw_79,46.16617,165.60135701735857,birth_weight
ethiopia,Female,draw_79,46.27628,165.5747031042476,birth_weight
ethiopia,Female,draw_79,46.38639,165.54803817946504,birth_weight
ethiopia,Female,draw_79,46.4965,165.52134082657096,birth_weight
ethiopia,Female,draw_79,46.60661,165.49465329575798,birth_weight
ethiopia,Female,draw_79,46.71672,165.46790903958464,birth_weight
ethiopia,Female,draw_79,46.82683,165.44117885297396,birth_weight
ethiopia,Female,draw_79,46.93694,165.4144268417905,birth_weight
ethiopia,Female,draw_79,47.04705,165.387671538846,birth_weight
ethiopia,Female,draw_79,47.15716,165.36091388605882,birth_weight
ethiopia,Female,draw_79,47.26727,165.33412204410342,birth_weight
ethiopia,Female,draw_79,47.37738,165.30730560761896,birth_weight
ethiopia,Female,draw_79,47.48749,165.2804695185851,birth_weight
ethiopia,Female,draw_79,47.5976,165.253644052398,birth_weight
ethiopia,Female,draw_79,47.70771,165.22680522513787,birth_weight
ethiopia,Female,draw_79,47.81782,165.19994359641623,birth_weight
ethiopia,Female,draw_79,47.92793,165.17307429696433,birth_weight
ethiopia,Female,draw_79,48.03804,165.14619516388143,birth_weight
ethiopia,Female,draw_79,48.14815,165.1192570481411,birth_weight
ethiopia,Female,draw_79,48.25826,165.09234699175227,birth_weight
ethiopia,Female,draw_79,48.36837,165.06542211609928,birth_weight
ethiopia,Female,draw_79,48.47848,165.03847154000195,birth_weight
ethiopia,Female,draw_79,48.58859,165.0115224972458,birth_weight
ethiopia,Female,draw_79,48.6987,164.98455237516822,birth_weight
ethiopia,Female,draw_79,48.80881,164.95754653563168,birth_weight
ethiopia,Female,draw_79,48.91892,164.93053117231767,birth_weight
ethiopia,Female,draw_79,49.02903,164.9035182275385,birth_weight
ethiopia,Female,draw_79,49.13914,164.8764974800751,birth_weight
ethiopia,Female,draw_79,49.24925,164.8494535959039,birth_weight
ethiopia,Female,draw_79,49.35936,164.82239623427103,birth_weight
ethiopia,Female,draw_79,49.46947,164.79532623436376,birth_weight
ethiopia,Female,draw_79,49.57958,164.76821237998868,birth_weight
ethiopia,Female,draw_79,49.68969,164.74111628394056,birth_weight
ethiopia,Female,draw_79,49.7998,164.7140073803111,birth_weight
ethiopia,Female,draw_79,49.90991,164.68687763329442,birth_weight
ethiopia,Female,draw_79,50.02002,164.65974725011964,birth_weight
ethiopia,Female,draw_79,50.13013,164.63258534624674,birth_weight
ethiopia,Female,draw_79,50.24024,164.6054101979561,birth_weight
ethiopia,Female,draw_79,50.35035,164.5782140758519,birth_weight
ethiopia,Female,draw_79,50.46046,164.55102236605222,birth_weight
ethiopia,Female,draw_79,50.57057,164.52380733498026,birth_weight
ethiopia,Female,draw_79,50.68068,164.4965912919641,birth_weight
ethiopia,Female,draw_79,50.79079,164.46936218149418,birth_weight
ethiopia,Female,draw_79,50.9009,164.44210715324544,birth_weight
ethiopia,Female,draw_79,51.01101,164.41481621827253,birth_weight
ethiopia,Female,draw_79,51.12112,164.3875368188557,birth_weight
ethiopia,Female,draw_79,51.23123,164.36024476699174,birth_weight
ethiopia,Female,draw_79,51.34134,164.3329455641043,birth_weight
ethiopia,Female,draw_79,51.45145,164.30564064183451,birth_weight
ethiopia,Female,draw_79,51.56156,164.2783023247842,birth_weight
ethiopia,Female,draw_79,51.67167,164.2509428777267,birth_weight
ethiopia,Female,draw_79,51.78178,164.22357007747325,birth_weight
ethiopia,Female,draw_79,51.89189,164.19619299908456,birth_weight
ethiopia,Female,draw_79,52.002,164.16881497009342,birth_weight
ethiopia,Female,draw_79,52.11211,164.14142272932887,birth_weight
ethiopia,Female,draw_79,52.22222,164.11400326359433,birth_weight
ethiopia,Female,draw_79,52.33233,164.08658608286578,birth_weight
ethiopia,Female,draw_79,52.44244,164.05910871473512,birth_weight
ethiopia,Female,draw_79,52.55255,164.0316643216541,birth_weight
ethiopia,Female,draw_79,52.66266,164.0041983157433,birth_weight
ethiopia,Female,draw_79,52.77277,163.9767284111505,birth_weight
ethiopia,Female,draw_79,52.88288,163.94924016036288,birth_weight
ethiopia,Female,draw_79,52.99299,163.92173716790188,birth_weight
ethiopia,Female,draw_79,53.1031,163.89419534617832,birth_weight
ethiopia,Female,draw_79,53.21321,163.86665166112667,birth_weight
ethiopia,Female,draw_79,53.32332,163.8391167593978,birth_weight
ethiopia,Female,draw_79,53.43343,163.81155213839045,birth_weight
ethiopia,Female,draw_79,53.54354,163.7839888910115,birth_weight
ethiopia,Female,draw_79,53.65365,163.7564116569043,birth_weight
ethiopia,Female,draw_79,53.76376,163.72881124995507,birth_weight
ethiopia,Female,draw_79,53.87387,163.7011750519909,birth_weight
ethiopia,Female,draw_79,53.98398,163.67355977845432,birth_weight
ethiopia,Female,draw_79,54.09409,163.64592612092306,birth_weight
ethiopia,Female,draw_79,54.2042,163.61835980338924,birth_weight
ethiopia,Female,draw_79,54.31431,163.59070753005832,birth_weight
ethiopia,Female,draw_79,54.42442,163.5630339042334,birth_weight
ethiopia,Female,draw_79,54.53453,163.53532366417505,birth_weight
ethiopia,Female,draw_79,54.64464,163.50761792450916,birth_weight
ethiopia,Female,draw_79,54.75475,163.47991681212585,birth_weight
ethiopia,Female,draw_79,54.86486,163.4521955028898,birth_weight
