location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_278,49.24925,143.30092323020665,birth_weight
ethiopia,Female,draw_278,49.35936,143.29121917984185,birth_weight
ethiopia,Female,draw_278,49.46947,143.28152653612386,birth_weight
ethiopia,Female,draw_278,49.57958,143.27182735229061,birth_weight
ethiopia,Female,draw_278,49.68969,143.26215817824684,birth_weight
ethiopia,Female,draw_278,49.7998,143.25247117256052,birth_weight
ethiopia,Female,draw_278,49.90991,143.24278389982828,birth_weight
ethiopia,Female,draw_278,50.02002,143.23310455236654,birth_weight
ethiopia,Female,draw_278,50.13013,143.2234211169099,birth_weight
ethiopia,Female,draw_278,50.24024,143.21373347781736,birth_weight
ethiopia,Female,draw_278,50.35035,143.2040572357801,birth_weight
ethiopia,Female,draw_278,50.46046,143.19438984983373,birth_weight
ethiopia,Female,draw_278,50.57057,143.18471739114074,birth_weight
ethiopia,Female,draw_278,50.68068,143.17504872763686,birth_weight
ethiopia,Female,draw_278,50.79079,143.16537630543615,birth_weight
ethiopia,Female,draw_278,50.9009,143.1557111539157,birth_weight
ethiopia,Female,draw_278,51.01101,143.14603706971326,birth_weight
ethiopia,Female,draw_278,51.12112,143.13638664640928,birth_weight
ethiopia,Female,draw_278,51.23123,143.12674268325017,birth_weight
ethiopia,Female,draw_278,51.34134,143.11708233338948,birth_weight
ethiopia,Female,draw_278,51.45145,143.1074214769635,birth_weight
ethiopia,Female,draw_278,51.56156,143.09777211320232,birth_weight
ethiopia,Female,draw_278,51.67167,143.08812104529108,birth_weight
ethiopia,Female,draw_278,51.78178,143.0784791887582,birth_weight
ethiopia,Female,draw_278,51.89189,143.06884252627398,birth_weight
ethiopia,Female,draw_278,52.002,143.05921267836035,birth_weight
ethiopia,Female,draw_278,52.11211,143.04956604298877,birth_weight
ethiopia,Female,draw_278,52.22222,143.03994158614543,birth_weight
ethiopia,Female,draw_278,52.33233,143.03030443784635,birth_weight
ethiopia,Female,draw_278,52.44244,143.0206706458476,birth_weight
ethiopia,Female,draw_278,52.55255,143.0110579882942,birth_weight
ethiopia,Female,draw_278,52.66266,143.0014430164513,birth_weight
ethiopia,Female,draw_278,52.77277,142.99182954168677,birth_weight
ethiopia,Female,draw_278,52.88288,142.98220895282967,birth_weight
ethiopia,Female,draw_278,52.99299,142.9725986093771,birth_weight
ethiopia,Female,draw_278,53.1031,142.9629901496159,birth_weight
ethiopia,Female,draw_278,53.21321,142.95339063777095,birth_weight
ethiopia,Female,draw_278,53.32332,142.94379404021552,birth_weight
ethiopia,Female,draw_278,53.43343,142.93420858798254,birth_weight
ethiopia,Female,draw_278,53.54354,142.92461885892533,birth_weight
ethiopia,Female,draw_278,53.65365,142.91502791417193,birth_weight
ethiopia,Female,draw_278,53.76376,142.90544462160454,birth_weight
ethiopia,Female,draw_278,53.87387,142.8958668447478,birth_weight
ethiopia,Female,draw_278,53.98398,142.88630101596456,birth_weight
ethiopia,Female,draw_278,54.09409,142.87673244316696,birth_weight
ethiopia,Female,draw_278,54.2042,142.86716718989655,birth_weight
ethiopia,Female,draw_278,54.31431,142.85760112673486,birth_weight
ethiopia,Female,draw_278,54.42442,142.8480450146813,birth_weight
ethiopia,Female,draw_278,54.53453,142.83855755060029,birth_weight
ethiopia,Female,draw_278,54.64464,142.82901361444993,birth_weight
ethiopia,Female,draw_278,54.75475,142.81949011170042,birth_weight
ethiopia,Female,draw_278,54.86486,142.80994624507508,birth_weight
ethiopia,Female,draw_278,54.97497,142.80041716470552,birth_weight
ethiopia,Female,draw_278,55.08509,142.79081442170036,birth_weight
ethiopia,Female,draw_278,55.1952,142.78129733510434,birth_weight
ethiopia,Female,draw_278,55.30531,142.77177517484742,birth_weight
ethiopia,Female,draw_278,55.41542,142.76226603333652,birth_weight
ethiopia,Female,draw_278,55.52553,142.7527695517756,birth_weight
ethiopia,Female,draw_278,55.63564,142.7432645808721,birth_weight
ethiopia,Female,draw_278,55.74575,142.73376485955288,birth_weight
ethiopia,Female,draw_278,55.85586,142.72427985169804,birth_weight
ethiopia,Female,draw_278,55.96597,142.71479687837913,birth_weight
ethiopia,Female,draw_278,56.07608,142.70532417612372,birth_weight
ethiopia,Female,draw_278,56.18619,142.69585642497313,birth_weight
ethiopia,Female,draw_278,56.2963,142.68638907913362,birth_weight
ethiopia,Female,draw_278,56.40641,142.67692601870644,birth_weight
ethiopia,Female,draw_278,56.51652,142.66747648790755,birth_weight
ethiopia,Female,draw_278,56.62663,142.6580189940885,birth_weight
ethiopia,Female,draw_278,56.73674,142.64858356092412,birth_weight
ethiopia,Female,draw_278,56.84685,142.63915693085954,birth_weight
ethiopia,Female,draw_278,56.95696,142.62973321284474,birth_weight
ethiopia,Female,draw_278,57.06707,142.62031419318345,birth_weight
ethiopia,Female,draw_278,57.17718,142.61089131692603,birth_weight
ethiopia,Female,draw_278,57.28729,142.6014910657108,birth_weight
ethiopia,Female,draw_278,57.3974,142.59209056476723,birth_weight
ethiopia,Female,draw_278,57.50751,142.58269747701704,birth_weight
ethiopia,Female,draw_278,57.61762,142.5733177068025,birth_weight
ethiopia,Female,draw_278,57.72773,142.56393751195702,birth_weight
ethiopia,Female,draw_278,57.83784,142.55456651379728,birth_weight
ethiopia,Female,draw_278,57.94795,142.54520273931462,birth_weight
ethiopia,Female,draw_278,58.05806,142.5358473327269,birth_weight
ethiopia,Female,draw_278,58.16817,142.52649664450246,birth_weight
ethiopia,Female,draw_278,58.27828,142.51716408893938,birth_weight
ethiopia,Female,draw_278,58.38839,142.50783924164816,birth_weight
ethiopia,Female,draw_278,58.4985,142.49851545917087,birth_weight
ethiopia,Female,draw_278,58.60861,142.48918542615672,birth_weight
ethiopia,Female,draw_278,58.71872,142.47988112607342,birth_weight
ethiopia,Female,draw_278,58.82883,142.4705847092721,birth_weight
ethiopia,Female,draw_278,58.93894,142.46129942946268,birth_weight
ethiopia,Female,draw_278,59.04905,142.4520224060882,birth_weight
ethiopia,Female,draw_278,59.15916,142.44275364045006,birth_weight
ethiopia,Female,draw_278,59.26927,142.43348391096413,birth_weight
ethiopia,Female,draw_278,59.37938,142.42423067105207,birth_weight
ethiopia,Female,draw_278,59.48949,142.41497519652748,birth_weight
ethiopia,Female,draw_278,59.5996,142.40573943398587,birth_weight
ethiopia,Female,draw_278,59.70971,142.3965166039144,birth_weight
ethiopia,Female,draw_278,59.81982,142.3873064864004,birth_weight
ethiopia,Female,draw_278,59.92993,142.3780987981908,birth_weight
ethiopia,Female,draw_278,60.04004,142.36889469486044,birth_weight
