location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_127,40.0,174.85980810602405,birth_weight
ethiopia,Female,draw_127,40.11011,175.03537093941037,birth_weight
ethiopia,Female,draw_127,40.22022,175.21088910020603,birth_weight
ethiopia,Female,draw_127,40.33033,175.38633534988088,birth_weight
ethiopia,Female,draw_127,40.44044,175.56171772935278,birth_weight
ethiopia,Female,draw_127,40.55055,175.73702751428402,birth_weight
ethiopia,Female,draw_127,40.66066,175.91229097695424,birth_weight
ethiopia,Female,draw_127,40.77077,176.08749765254197,birth_weight
ethiopia,Female,draw_127,40.88088,176.2626271041566,birth_weight
ethiopia,Female,draw_127,40.99099,176.43770865622838,birth_weight
ethiopia,Female,draw_127,41.1011,176.61271958157067,birth_weight
ethiopia,Female,draw_127,41.21121,176.7876670434341,birth_weight
ethiopia,Female,draw_127,41.32132,176.96254504381415,birth_weight
ethiopia,Female,draw_127,41.43143,177.13738084055518,birth_weight
ethiopia,Female,draw_127,41.54154,177.31214063669324,birth_weight
ethiopia,Female,draw_127,41.65165,177.48685538465065,birth_weight
ethiopia,Female,draw_127,41.76176,177.66148652093148,birth_weight
ethiopia,Female,draw_127,41.87187,177.83606816340148,birth_weight
ethiopia,Female,draw_127,41.98198,178.010569206801,birth_weight
ethiopia,Female,draw_127,42.09209,178.18502010986896,birth_weight
ethiopia,Female,draw_127,42.2022,178.35941242183992,birth_weight
ethiopia,Female,draw_127,42.31231,178.53374495807572,birth_weight
ethiopia,Female,draw_127,42.42242,178.7080184965102,birth_weight
ethiopia,Female,draw_127,42.53253,178.882205850626,birth_weight
ethiopia,Female,draw_127,42.64264,179.05633700721938,birth_weight
ethiopia,Female,draw_127,42.75275,179.23042046998506,birth_weight
ethiopia,Female,draw_127,42.86286,179.2356148001785,birth_weight
ethiopia,Female,draw_127,42.97297,179.19871476399032,birth_weight
ethiopia,Female,draw_127,43.08308,179.16179319941847,birth_weight
ethiopia,Female,draw_127,43.19319,179.12484276689042,birth_weight
ethiopia,Female,draw_127,43.3033,179.08787176336006,birth_weight
ethiopia,Female,draw_127,43.41341,179.05087481892696,birth_weight
ethiopia,Female,draw_127,43.52352,179.01385220656198,birth_weight
ethiopia,Female,draw_127,43.63363,178.9768247162196,birth_weight
ethiopia,Female,draw_127,43.74374,178.93976458198028,birth_weight
ethiopia,Female,draw_127,43.85385,178.9026917080405,birth_weight
ethiopia,Female,draw_127,43.96396,178.8655666862278,birth_weight
ethiopia,Female,draw_127,44.07407,178.82843881255985,birth_weight
ethiopia,Female,draw_127,44.18418,178.79129412679686,birth_weight
ethiopia,Female,draw_127,44.29429,178.75411527236082,birth_weight
ethiopia,Female,draw_127,44.4044,178.71700255424804,birth_weight
ethiopia,Female,draw_127,44.51451,178.67978052809764,birth_weight
