location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_170,40.0,180.47323980627215,birth_weight
ethiopia,Female,draw_170,40.11011,180.67273334279236,birth_weight
ethiopia,Female,draw_170,40.22022,180.87212715438824,birth_weight
ethiopia,Female,draw_170,40.33033,181.07143231125042,birth_weight
ethiopia,Female,draw_170,40.44044,181.27067992274044,birth_weight
ethiopia,Female,draw_170,40.55055,181.4698568409869,birth_weight
ethiopia,Female,draw_170,40.66066,181.66894519918333,birth_weight
ethiopia,Female,draw_170,40.77077,181.86796433411428,birth_weight
ethiopia,Female,draw_170,40.88088,182.06683048848407,birth_weight
ethiopia,Female,draw_170,40.99099,182.26562121104388,birth_weight
ethiopia,Female,draw_170,41.1011,182.46434626027212,birth_weight
ethiopia,Female,draw_170,41.21121,182.6630159092843,birth_weight
ethiopia,Female,draw_170,41.32132,182.86160122011484,birth_weight
ethiopia,Female,draw_170,41.43143,183.06008672474837,birth_weight
ethiopia,Female,draw_170,41.54154,183.25847815725,birth_weight
ethiopia,Female,draw_170,41.65165,183.4567492404147,birth_weight
ethiopia,Female,draw_170,41.76176,183.65494776749858,birth_weight
ethiopia,Female,draw_170,41.87187,183.85311207234668,birth_weight
ethiopia,Female,draw_170,41.98198,184.05117314538182,birth_weight
ethiopia,Female,draw_170,42.09209,184.24915528011286,birth_weight
ethiopia,Female,draw_170,42.2022,184.44705701433583,birth_weight
ethiopia,Female,draw_170,42.31231,184.64481226567028,birth_weight
ethiopia,Female,draw_170,42.42242,184.8424849408314,birth_weight
ethiopia,Female,draw_170,42.53253,185.04011585032538,birth_weight
ethiopia,Female,draw_170,42.64264,185.2376668030132,birth_weight
ethiopia,Female,draw_170,42.75275,185.4351283608911,birth_weight
ethiopia,Female,draw_170,42.86286,185.63252163507622,birth_weight
ethiopia,Female,draw_170,42.97297,185.82979082463294,birth_weight
ethiopia,Female,draw_170,43.08308,186.0269464569855,birth_weight
ethiopia,Female,draw_170,43.19319,186.22403925605715,birth_weight
ethiopia,Female,draw_170,43.3033,186.42107036069837,birth_weight
ethiopia,Female,draw_170,43.41341,186.61801407919774,birth_weight
ethiopia,Female,draw_170,43.52352,186.81487267591058,birth_weight
ethiopia,Female,draw_170,43.63363,187.01165781507365,birth_weight
ethiopia,Female,draw_170,43.74374,187.20829755000625,birth_weight
ethiopia,Female,draw_170,43.85385,187.4048550575148,birth_weight
ethiopia,Female,draw_170,43.96396,187.60136268390136,birth_weight
ethiopia,Female,draw_170,44.07407,187.7977880578934,birth_weight
ethiopia,Female,draw_170,44.18418,187.99421320348557,birth_weight
ethiopia,Female,draw_170,44.29429,188.19047959465723,birth_weight
ethiopia,Female,draw_170,44.4044,188.38661992722103,birth_weight
ethiopia,Female,draw_170,44.51451,188.5826613340023,birth_weight
ethiopia,Female,draw_170,44.62462,188.7786256732948,birth_weight
ethiopia,Female,draw_170,44.73473,188.9745252149088,birth_weight
ethiopia,Female,draw_170,44.84484,189.17034132046507,birth_weight
ethiopia,Female,draw_170,44.95495,189.366080535261,birth_weight
ethiopia,Female,draw_170,45.06507,189.4547325115048,birth_weight
ethiopia,Female,draw_170,45.17518,189.40649447367997,birth_weight
ethiopia,Female,draw_170,45.28529,189.3582429053946,birth_weight
ethiopia,Female,draw_170,45.3954,189.30999114700245,birth_weight
ethiopia,Female,draw_170,45.50551,189.2617257394504,birth_weight
ethiopia,Female,draw_170,45.61562,189.21344427368894,birth_weight
ethiopia,Female,draw_170,45.72573,189.16511159939597,birth_weight
ethiopia,Female,draw_170,45.83584,189.11671278231523,birth_weight
ethiopia,Female,draw_170,45.94595,189.06828434227583,birth_weight
ethiopia,Female,draw_170,46.05606,189.01982924131886,birth_weight
ethiopia,Female,draw_170,46.16617,188.97138531642094,birth_weight
ethiopia,Female,draw_170,46.27628,188.92290590906168,birth_weight
ethiopia,Female,draw_170,46.38639,188.87439939013996,birth_weight
ethiopia,Female,draw_170,46.4965,188.8258656459422,birth_weight
ethiopia,Female,draw_170,46.60661,188.7772338836329,birth_weight
ethiopia,Female,draw_170,46.71672,188.72857564798255,birth_weight
ethiopia,Female,draw_170,46.82683,188.6799401712795,birth_weight
ethiopia,Female,draw_170,46.93694,188.63128121946556,birth_weight
ethiopia,Female,draw_170,47.04705,188.58259438236206,birth_weight
ethiopia,Female,draw_170,47.15716,188.53387829865363,birth_weight
ethiopia,Female,draw_170,47.26727,188.4850909428069,birth_weight
ethiopia,Female,draw_170,47.37738,188.4362449577688,birth_weight
ethiopia,Female,draw_170,47.48749,188.387406368398,birth_weight
ethiopia,Female,draw_170,47.5976,188.33856446187008,birth_weight
ethiopia,Female,draw_170,47.70771,188.28968301378535,birth_weight
ethiopia,Female,draw_170,47.81782,188.24077914994257,birth_weight
ethiopia,Female,draw_170,47.92793,188.19184548572275,birth_weight
ethiopia,Female,draw_170,48.03804,188.14282561362006,birth_weight
ethiopia,Female,draw_170,48.14815,188.09377157244484,birth_weight
ethiopia,Female,draw_170,48.25826,188.0447383425407,birth_weight
ethiopia,Female,draw_170,48.36837,187.99567747743623,birth_weight
ethiopia,Female,draw_170,48.47848,187.94658351124525,birth_weight
ethiopia,Female,draw_170,48.58859,187.89746712645024,birth_weight
ethiopia,Female,draw_170,48.6987,187.8482806190833,birth_weight
ethiopia,Female,draw_170,48.80881,187.7990546008524,birth_weight
ethiopia,Female,draw_170,48.91892,187.74980492915097,birth_weight
ethiopia,Female,draw_170,49.02903,187.70057015334788,birth_weight
ethiopia,Female,draw_170,49.13914,187.65128936252,birth_weight
