sex_of_child,value,age_group_id,exposure,location,draw
Female,2.3534229602238366,2,40.0,ethiopia,draw_150
Male,2.6600602625055214,2,40.0,ethiopia,draw_150
Female,2.082546308761341,3,40.0,ethiopia,draw_150
Male,2.2067439190253166,3,40.0,ethiopia,draw_150
Female,2.3493134197043894,2,40.11011,ethiopia,draw_150
Male,2.6544449376577277,2,40.11011,ethiopia,draw_150
Female,2.0797701895413265,3,40.11011,ethiopia,draw_150
Male,2.2033935535515385,3,40.11011,ethiopia,draw_150
Female,2.345214910889181,2,40.22022,ethiopia,draw_150
Male,2.6488453556099523,2,40.22022,ethiopia,draw_150
Female,2.076999692484165,3,40.22022,ethiopia,draw_150
Male,2.2000500573399133,3,40.22022,ethiopia,draw_150
Female,2.341126291095357,2,40.33033,ethiopia,draw_150
Male,2.6432629174468745,2,40.33033,ethiopia,draw_150
Female,2.074234634762544,3,40.33033,ethiopia,draw_150
Male,2.196714155905591,3,40.33033,ethiopia,draw_150
Female,2.3370490223262403,2,40.44044,ethiopia,draw_150
Male,2.6376958353429503,2,40.44044,ethiopia,draw_150
Female,2.0714753415699017,3,40.44044,ethiopia,draw_150
Male,2.193384856473657,3,40.44044,ethiopia,draw_150
Female,2.3329825910949435,2,40.55055,ethiopia,draw_150
Male,2.6321452635938036,2,40.55055,ethiopia,draw_150
Female,2.0687214053722474,3,40.55055,ethiopia,draw_150
Male,2.1900628886102735,3,40.55055,ethiopia,draw_150
Female,2.3289267401570863,2,40.66066,ethiopia,draw_150
Male,2.626609867808311,2,40.66066,ethiopia,draw_150
Female,2.065972967442726,3,40.66066,ethiopia,draw_150
Male,2.1867475220572934,3,40.66066,ethiopia,draw_150
Female,2.324881977660997,2,40.77077,ethiopia,draw_150
Male,2.621090540586345,2,40.77077,ethiopia,draw_150
Female,2.0632302205159205,3,40.77077,ethiopia,draw_150
Male,2.1834392393779942,3,40.77077,ethiopia,draw_150
Female,2.320848151458958,2,40.88088,ethiopia,draw_150
Male,2.6155879259167683,2,40.88088,ethiopia,draw_150
Female,2.0604931936676927,3,40.88088,ethiopia,draw_150
Male,2.180138385096604,3,40.88088,ethiopia,draw_150
Female,2.316825058778665,2,40.99099,ethiopia,draw_150
