parameter_name,Ethiopia,Nigeria,Pakistan
"corr(anc, lbwsg_category)",0.2,0.2,0.2
"corr(anc, facility)",0.6772015774293629,0.41238322428922164,0.34848636007840045
"corr(lbwsg_category, facility)",0.2,0.2,0.2
prob_home_given_believed_preterm,0.3196834302380001,0.39176193268267356,0.17287156445755664
prob_home_given_believed_term,0.4766466168155857,0.5123432635895482,0.23906089888485635
