,draw,location_id,shift_anc,shift_no_anc,rr_anc,rr_no_anc,rr_target
0,115,179,0.1333840658172875,0.2844178073633235,0.8713082015565973,0.8713083523463749,0.8713059666813701
1,60,179,0.10093001661950085,0.2544908001167196,0.8876635520175373,0.8876625281573115,0.8876626099181146
2,118,179,0.0744724215973526,0.21850539168759908,0.9164955476289901,0.9165002909372383,0.9164971322447389
3,197,179,0.0902180504119055,0.2542625301515179,0.8984379007343518,0.8984391025616529,0.8984384450273379
4,79,179,0.07473020654738348,0.1862747940299438,0.9258822857487535,0.9258841660373752,0.9258829784488258
5,244,179,0.08590080815362491,0.21485078154455967,0.9086530510002645,0.9086575112723565,0.9086562267085577
6,22,179,0.11873652727078646,0.2880142263132672,0.8757995489113641,0.8757952214540327,0.8757958156648471
7,167,179,0.08008004742464378,0.19314716814130112,0.918801060314969,0.9188022064037785,0.9187999339164541
8,146,179,0.07668839824660058,0.20196580318885288,0.9154394980445679,0.9154374815595282,0.9154375350208757
9,71,179,0.11138002508105763,0.3151464516621395,0.8779878360930276,0.8779863724127317,0.8779869093801652
10,115,214,0.08715913872812044,0.28209697577300513,0.8713062864925543,0.8713036430388967,0.8713059666813701
11,60,214,0.08114841852341116,0.21712653750876953,0.8876643289138146,0.8876628239441525,0.8876626099181146
12,118,214,0.052799495729700247,0.1845835205569498,0.9164980892245019,0.9164980906505068,0.9164971322447389
13,197,214,0.06490797609488402,0.21656137690141197,0.8984368986890863,0.8984449433680431,0.8984384450273379
14,79,214,0.04617402051119425,0.1725008408981626,0.9258826892245657,0.9258842368503334,0.9258829784488258
15,244,214,0.05748367453296826,0.20896552367717197,0.9086566733531785,0.9086585883602375,0.9086562267085577
16,22,214,0.08091294851940334,0.2949616740950962,0.8757970969084027,0.8757957464468102,0.8757958156648471
17,167,214,0.0525044327605651,0.182858746946156,0.918792147305295,0.9188060972606086,0.9187999339164541
18,146,214,0.051091104833616084,0.18966676255398424,0.9154388438104137,0.9154355603795415,0.9154375350208757
19,71,214,0.0836146955579743,0.27815895614049757,0.8779860538815925,0.8779884720597982,0.8779869093801652
20,115,165,0.11914291552745628,0.3375335473312332,0.8713038751468829,0.8713052660128882,0.8713059666813701
21,60,165,0.09099104672034083,0.30894571986483693,0.887660003505791,0.8876623507690379,0.8876626099181146
22,118,165,0.06753248291257682,0.23717057925719587,0.9164987269590862,0.9164977357702832,0.9164971322447389
23,197,165,0.08200781670101116,0.2866834180215358,0.8984390889257007,0.8984409139416822,0.8984384450273379
24,79,165,0.06295237922922022,0.2176535010651639,0.9258833641946146,0.9258819217861834,0.9258829784488258
25,244,165,0.07772501316681077,0.2536407283399861,0.9086555361697366,0.9086583728855245,0.9086562267085577
26,22,165,0.10728825090129485,0.3492612554367046,0.8757972794114701,0.8757950257058501,0.8757958156648471
27,167,165,0.06708430972084084,0.23295733320700315,0.9187993269690801,0.9188004294122635,0.9187999339164541
28,146,165,0.07185406778465825,0.23399429690368972,0.9154348660414751,0.9154387788754561,0.9154375350208757
29,71,165,0.10273820444594053,0.37396814021228114,0.8779880157491239,0.8779891856989854,0.8779869093801652
