lbwsg_category,modelable_entity_id,modelable_entity_name,modelable_entity_description,ga_start,ga_end,ga_plus,ga_closed,bw_start,bw_end,bw_closed,ga,ga_width,ga_midpoint,bw,bw_width,bw_midpoint
cat35,10788,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [2000, 2500) g",Post-copula joint distribution bins,37,38,False,False,2000,2500,False,"[37, 38)",1,37.5,"[2000, 2500)",500,2250.0
cat36,10789,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [2000, 2500) g",Post-copula joint distribution bins,36,37,False,False,2000,2500,False,"[36, 37)",1,36.5,"[2000, 2500)",500,2250.0
cat37,10790,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [2500, 3000) g",Post-copula joint distribution bins,34,36,False,False,2500,3000,False,"[34, 36)",2,35.0,"[2500, 3000)",500,2750.0
cat38,10791,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [4000, 9999] g",Post-copula joint distribution bins,34,36,False,False,4000,9999,True,"[34, 36)",2,35.0,"[4000, 9999]",5999,6999.5
cat39,10792,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [3000, 3500) g",Post-copula joint distribution bins,34,36,False,False,3000,3500,False,"[34, 36)",2,35.0,"[3000, 3500)",500,3250.0
cat40,10793,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [2500, 3000) g",Post-copula joint distribution bins,36,37,False,False,2500,3000,False,"[36, 37)",1,36.5,"[2500, 3000)",500,2750.0
cat41,10794,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [3500, 4000) g",Post-copula joint distribution bins,34,36,False,False,3500,4000,False,"[34, 36)",2,35.0,"[3500, 4000)",500,3750.0
cat42,10795,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [2500, 3000) g",Post-copula joint distribution bins,37,38,False,False,2500,3000,False,"[37, 38)",1,37.5,"[2500, 3000)",500,2750.0
cat43,10796,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [2500, 3000) g",Post-copula joint distribution bins,40,42,True,True,2500,3000,False,"[40, 42]",2,41.0,"[2500, 3000)",500,2750.0
cat44,10797,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [2500, 3000) g",Post-copula joint distribution bins,38,40,False,False,2500,3000,False,"[38, 40)",2,39.0,"[2500, 3000)",500,2750.0
cat45,10798,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [3000, 3500) g",Post-copula joint distribution bins,36,37,False,False,3000,3500,False,"[36, 37)",1,36.5,"[3000, 3500)",500,3250.0
cat46,10799,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [4000, 9999] g",Post-copula joint distribution bins,36,37,False,False,4000,9999,True,"[36, 37)",1,36.5,"[4000, 9999]",5999,6999.5
cat47,10800,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [3500, 4000) g",Post-copula joint distribution bins,36,37,False,False,3500,4000,False,"[36, 37)",1,36.5,"[3500, 4000)",500,3750.0
