Unnamed: 0,anc1,parameter,exposure,draw,location,rr,location_id,ifa_coverage,bw_start,bw_end,ga_start,ga_end
0,True,cat89,0.0006514233600416,draw_71,pakistan,0.8779869093801652,165,0.6709253820977024,3000,3500,30,32
1,True,cat47,0.0023935826109457,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,3500,4000,36,37
2,True,cat88,0.0023288911890283,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,2500,3000,30,32
3,True,cat20,0.0020701255013585,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,1500,2000,28,30
4,True,cat96,0.001293828438349,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,3500,4000,32,34
5,True,cat106,0.0012291370164316,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,1000,1500,36,37
6,True,cat80,0.0012291370164316,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,2000,2500,28,30
7,True,cat22,0.0025229654547806,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,1000,1500,32,34
8,True,cat81,0.0012291370164316,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,2500,3000,28,30
9,True,cat19,0.0010997541725967,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,1000,1500,34,36
10,True,cat46,0.0010350627506792,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,4000,9999,36,37
11,True,cat11,0.0009703713287618,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,500,1000,26,28
12,True,cat17,0.0009056799068443,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,1000,1500,26,28
13,True,cat8,0.0008409884849268,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,500,1000,0,24
14,True,cat89,0.0008409884849268,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,3000,3500,30,32
15,True,cat15,0.0010997541725967,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,500,1000,28,30
16,True,cat14,0.0007116056410919,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,500,1000,30,32
17,True,cat95,0.0028464225643679,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,3000,3500,32,34
18,True,cat26,0.0032345710958726,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,2000,2500,30,32
19,True,cat49,0.0102212446629576,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,4000,9999,37,38
20,True,cat39,0.0095743304437831,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,3000,3500,34,36
21,True,cat30,0.0090567990684435,draw_22,pakistan,0.8757958156648471,165,0.6709104821284154,2000,2500,32,34
