location,draw,sex,age_start,age_end,parameter,value
ethiopia,draw_109,Female,0.0,0.01917808,40.0,1.536211748690656
ethiopia,draw_109,Male,0.0,0.01917808,40.0,1.2545442578352224
nigeria,draw_109,Female,0.0,0.01917808,40.0,1.3977423990300986
nigeria,draw_109,Male,0.0,0.01917808,40.0,1.2811672212363396
pakistan,draw_109,Female,0.0,0.01917808,40.0,0.670914577699746
pakistan,draw_109,Male,0.0,0.01917808,40.0,0.7012665691525682
ethiopia,draw_109,Female,0.0,0.01917808,40.11011,1.5380174178056247
ethiopia,draw_109,Male,0.0,0.01917808,40.11011,1.256461398059518
nigeria,draw_109,Female,0.0,0.01917808,40.11011,1.3996408854954852
nigeria,draw_109,Male,0.0,0.01917808,40.11011,1.2829504859721417
pakistan,draw_109,Female,0.0,0.01917808,40.11011,0.6729681815403474
pakistan,draw_109,Male,0.0,0.01917808,40.11011,0.703330282513247
ethiopia,draw_109,Female,0.0,0.01917808,40.22022,1.539820604690074
ethiopia,draw_109,Male,0.0,0.01917808,40.22022,1.2583778632488625
nigeria,draw_109,Female,0.0,0.01917808,40.22022,1.4015374892312968
nigeria,draw_109,Male,0.0,0.01917808,40.22022,1.2847324932513984
pakistan,draw_109,Female,0.0,0.01917808,40.22022,0.6750273062673996
pakistan,draw_109,Male,0.0,0.01917808,40.22022,0.7053993484697222
ethiopia,draw_109,Female,0.0,0.01917808,40.33033,1.541620043913891
ethiopia,draw_109,Male,0.0,0.01917808,40.33033,1.260293361647888
nigeria,draw_109,Female,0.0,0.01917808,40.33033,1.403431940701301
nigeria,draw_109,Male,0.0,0.01917808,40.33033,1.2865138966610095
pakistan,draw_109,Female,0.0,0.01917808,40.33033,0.6770920062562185
pakistan,draw_109,Male,0.0,0.01917808,40.33033,0.7074735687649978
ethiopia,draw_109,Female,0.0,0.01917808,40.44044,1.5434172520355591
ethiopia,draw_109,Male,0.0,0.01917808,40.44044,1.2622077235505136
nigeria,draw_109,Female,0.0,0.01917808,40.44044,1.4053233977741708
nigeria,draw_109,Male,0.0,0.01917808,40.44044,1.2882936821233388
pakistan,draw_109,Female,0.0,0.01917808,40.44044,0.67916206714695
pakistan,draw_109,Male,0.0,0.01917808,40.44044,0.7095529777173214
ethiopia,draw_109,Female,0.0,0.01917808,40.55055,1.5452099345566668
ethiopia,draw_109,Male,0.0,0.01917808,40.55055,1.2641210930144766
nigeria,draw_109,Female,0.0,0.01917808,40.55055,1.4072132507332507
nigeria,draw_109,Male,0.0,0.01917808,40.55055,1.2900724386043754
pakistan,draw_109,Female,0.0,0.01917808,40.55055,0.6812376602826389
pakistan,draw_109,Male,0.0,0.01917808,40.55055,0.7116376436350234
ethiopia,draw_109,Female,0.0,0.01917808,40.66066,1.5471379619128625
ethiopia,draw_109,Male,0.0,0.01917808,40.66066,1.2660329851718686
nigeria,draw_109,Female,0.0,0.01917808,40.66066,1.409100474670096
nigeria,draw_109,Male,0.0,0.01917808,40.66066,1.291849352482759
pakistan,draw_109,Female,0.0,0.01917808,40.66066,0.6833193680178854
pakistan,draw_109,Male,0.0,0.01917808,40.66066,0.7137273341759739
ethiopia,draw_109,Female,0.0,0.01917808,40.77077,1.5494937347849997
ethiopia,draw_109,Male,0.0,0.01917808,40.77077,1.2679435893255708
nigeria,draw_109,Female,0.0,0.01917808,40.77077,1.4109850711973038
nigeria,draw_109,Male,0.0,0.01917808,40.77077,1.2936248396444627
pakistan,draw_109,Female,0.0,0.01917808,40.77077,0.6854075271931451
pakistan,draw_109,Male,0.0,0.01917808,40.77077,0.7158222692764573
ethiopia,draw_109,Female,0.0,0.01917808,40.88088,1.55184619195196
ethiopia,draw_109,Male,0.0,0.01917808,40.88088,1.2698522447374039
nigeria,draw_109,Female,0.0,0.01917808,40.88088,1.4128672274915342
nigeria,draw_109,Male,0.0,0.01917808,40.88088,1.295398795244992
