outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_79,40.0,Female,2,ethiopia,1.1512752159430957
neonatal_sepsis,draw_79,40.0,Male,2,ethiopia,1.0796172503526893
neonatal_sepsis,draw_79,40.0,Female,3,ethiopia,1.320050897966255
neonatal_sepsis,draw_79,40.0,Male,3,ethiopia,1.2932073670607036
neonatal_sepsis,draw_79,40.0,Female,2,nigeria,1.0619454194678237
neonatal_sepsis,draw_79,40.0,Male,2,nigeria,1.1335221020389912
neonatal_sepsis,draw_79,40.0,Female,3,nigeria,1.2494969859358123
neonatal_sepsis,draw_79,40.0,Male,3,nigeria,1.329341636995205
neonatal_sepsis,draw_79,40.0,Female,2,pakistan,0.4727574001131824
neonatal_sepsis,draw_79,40.0,Male,2,pakistan,0.6152758489826876
neonatal_sepsis,draw_79,40.0,Female,3,pakistan,0.7260954065910267
neonatal_sepsis,draw_79,40.0,Male,3,pakistan,0.8490440957723303
neonatal_sepsis,draw_79,40.11011,Female,2,ethiopia,1.1533060920751805
neonatal_sepsis,draw_79,40.11011,Male,2,ethiopia,1.081243214138166
neonatal_sepsis,draw_79,40.11011,Female,3,ethiopia,1.321585300248099
neonatal_sepsis,draw_79,40.11011,Male,3,ethiopia,1.2945379115479883
neonatal_sepsis,draw_79,40.11011,Female,2,nigeria,1.063537514858852
neonatal_sepsis,draw_79,40.11011,Male,2,nigeria,1.1350062878148663
neonatal_sepsis,draw_79,40.11011,Female,3,nigeria,1.2506851712869123
neonatal_sepsis,draw_79,40.11011,Male,3,nigeria,1.330509155360672
neonatal_sepsis,draw_79,40.11011,Female,2,pakistan,0.47434018914998405
neonatal_sepsis,draw_79,40.11011,Male,2,pakistan,0.6170566585604096
neonatal_sepsis,draw_79,40.11011,Female,3,pakistan,0.7276868896620315
neonatal_sepsis,draw_79,40.11011,Male,3,pakistan,0.8508072785059266
neonatal_sepsis,draw_79,40.22022,Female,2,ethiopia,1.155336144591889
neonatal_sepsis,draw_79,40.22022,Male,2,ethiopia,1.082869183301819
neonatal_sepsis,draw_79,40.22022,Female,3,ethiopia,1.3231181787850481
neonatal_sepsis,draw_79,40.22022,Male,3,ethiopia,1.2958672076460631
neonatal_sepsis,draw_79,40.22022,Female,2,nigeria,1.0651291202503743
neonatal_sepsis,draw_79,40.22022,Male,2,nigeria,1.13648931307262
neonatal_sepsis,draw_79,40.22022,Female,3,nigeria,1.2518720627146502
neonatal_sepsis,draw_79,40.22022,Male,3,nigeria,1.331674882268406
neonatal_sepsis,draw_79,40.22022,Female,2,pakistan,0.475927984503654
neonatal_sepsis,draw_79,40.22022,Male,2,pakistan,0.6188417704293929
neonatal_sepsis,draw_79,40.22022,Female,3,pakistan,0.7292809770504117
neonatal_sepsis,draw_79,40.22022,Male,3,pakistan,0.8525727880797186
neonatal_sepsis,draw_79,40.33033,Female,2,ethiopia,1.1573655048480305
neonatal_sepsis,draw_79,40.33033,Male,2,ethiopia,1.0844943966796787
neonatal_sepsis,draw_79,40.33033,Female,3,ethiopia,1.3246496210509076
neonatal_sepsis,draw_79,40.33033,Male,3,ethiopia,1.2971947578675467
neonatal_sepsis,draw_79,40.33033,Female,2,nigeria,1.066720275542833
