outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_197,40.0,Female,2,ethiopia,2.3374561346297593
neonatal_sepsis,draw_197,40.0,Male,2,ethiopia,2.2136559828878406
neonatal_sepsis,draw_197,40.0,Female,3,ethiopia,2.960908677687209
neonatal_sepsis,draw_197,40.0,Male,3,ethiopia,2.725907505897099
neonatal_sepsis,draw_197,40.0,Female,2,nigeria,2.189463510982677
neonatal_sepsis,draw_197,40.0,Male,2,nigeria,2.3465516960267396
neonatal_sepsis,draw_197,40.0,Female,3,nigeria,2.824429696319652
neonatal_sepsis,draw_197,40.0,Male,3,nigeria,2.825062121510046
neonatal_sepsis,draw_197,40.0,Female,2,pakistan,0.9169089139051868
neonatal_sepsis,draw_197,40.0,Male,2,pakistan,1.1814288455215542
neonatal_sepsis,draw_197,40.0,Female,3,pakistan,1.568263188254411
neonatal_sepsis,draw_197,40.0,Male,3,pakistan,1.750301296011763
neonatal_sepsis,draw_197,40.11011,Female,2,ethiopia,2.340937445951879
neonatal_sepsis,draw_197,40.11011,Male,2,ethiopia,2.217338585140562
neonatal_sepsis,draw_197,40.11011,Female,3,ethiopia,2.963182874785869
neonatal_sepsis,draw_197,40.11011,Male,3,ethiopia,2.728693825157071
neonatal_sepsis,draw_197,40.11011,Female,2,nigeria,2.1932352158414194
neonatal_sepsis,draw_197,40.11011,Male,2,nigeria,2.3499389102686483
neonatal_sepsis,draw_197,40.11011,Female,3,nigeria,2.827039978407269
neonatal_sepsis,draw_197,40.11011,Male,3,nigeria,2.82750856456151
neonatal_sepsis,draw_197,40.11011,Female,2,pakistan,0.9201384970057728
neonatal_sepsis,draw_197,40.11011,Male,2,pakistan,1.1851029395645318
neonatal_sepsis,draw_197,40.11011,Female,3,pakistan,1.571884249739378
neonatal_sepsis,draw_197,40.11011,Male,3,pakistan,1.7539414644915203
neonatal_sepsis,draw_197,40.22022,Female,2,ethiopia,2.3444130145769573
neonatal_sepsis,draw_197,40.22022,Male,2,ethiopia,2.2210172395221033
neonatal_sepsis,draw_197,40.22022,Female,3,ethiopia,2.9654474984148114
neonatal_sepsis,draw_197,40.22022,Male,3,ethiopia,2.731472893594844
neonatal_sepsis,draw_197,40.22022,Female,2,nigeria,2.1970032435143803
neonatal_sepsis,draw_197,40.22022,Male,2,nigeria,2.3533201490524633
neonatal_sepsis,draw_197,40.22022,Female,3,nigeria,2.829641897165751
neonatal_sepsis,draw_197,40.22022,Male,3,nigeria,2.829946463858972
neonatal_sepsis,draw_197,40.22022,Female,2,pakistan,0.9233779259849996
neonatal_sepsis,draw_197,40.22022,Male,2,pakistan,1.1887866166515164
neonatal_sepsis,draw_197,40.22022,Female,3,pakistan,1.5755085639334847
neonatal_sepsis,draw_197,40.22022,Male,3,pakistan,1.7575849869963813
neonatal_sepsis,draw_197,40.33033,Female,2,ethiopia,2.347881754423462
neonatal_sepsis,draw_197,40.33033,Male,2,ethiopia,2.2246916782184076
neonatal_sepsis,draw_197,40.33033,Female,3,ethiopia,2.9677018584598924
neonatal_sepsis,draw_197,40.33033,Male,3,ethiopia,2.734244680883479
neonatal_sepsis,draw_197,40.33033,Female,2,nigeria,2.2007671403007882
neonatal_sepsis,draw_197,40.33033,Male,2,nigeria,2.356695250184303
neonatal_sepsis,draw_197,40.33033,Female,3,nigeria,2.832235253221622
neonatal_sepsis,draw_197,40.33033,Male,3,nigeria,2.832375777464003
neonatal_sepsis,draw_197,40.33033,Female,2,pakistan,0.9266269524433146
neonatal_sepsis,draw_197,40.33033,Male,2,pakistan,1.192479113246771
neonatal_sepsis,draw_197,40.33033,Female,3,pakistan,1.57913522328045
neonatal_sepsis,draw_197,40.33033,Male,3,pakistan,1.7612308156515548
neonatal_sepsis,draw_197,40.44044,Female,2,ethiopia,2.351345322101272
neonatal_sepsis,draw_197,40.44044,Male,2,ethiopia,2.2283618815528112
neonatal_sepsis,draw_197,40.44044,Female,3,ethiopia,2.9699473989223604
neonatal_sepsis,draw_197,40.44044,Male,3,ethiopia,2.737008330363078
neonatal_sepsis,draw_197,40.44044,Female,2,nigeria,2.2045266456572254
neonatal_sepsis,draw_197,40.44044,Male,2,nigeria,2.3600638228753077
neonatal_sepsis,draw_197,40.44044,Female,3,nigeria,2.834819750507688
neonatal_sepsis,draw_197,40.44044,Male,3,nigeria,2.8347961288245873
neonatal_sepsis,draw_197,40.44044,Female,2,pakistan,0.9298854942657978
neonatal_sepsis,draw_197,40.44044,Male,2,pakistan,1.196180383466735
neonatal_sepsis,draw_197,40.44044,Female,3,pakistan,1.5827640476097162
neonatal_sepsis,draw_197,40.44044,Male,3,pakistan,1.764879383756301
neonatal_sepsis,draw_197,40.55055,Female,2,ethiopia,2.354801472479501
neonatal_sepsis,draw_197,40.55055,Male,2,ethiopia,2.232027225382229
neonatal_sepsis,draw_197,40.55055,Female,3,ethiopia,2.9721821416573366
neonatal_sepsis,draw_197,40.55055,Male,3,ethiopia,2.739763842900827
neonatal_sepsis,draw_197,40.55055,Female,2,nigeria,2.208281414751126
neonatal_sepsis,draw_197,40.55055,Male,2,nigeria,2.363425461836997
neonatal_sepsis,draw_197,40.55055,Female,3,nigeria,2.837394833834067
neonatal_sepsis,draw_197,40.55055,Male,3,nigeria,2.8372071780398804
neonatal_sepsis,draw_197,40.55055,Female,2,pakistan,0.9331537141475142
neonatal_sepsis,draw_197,40.55055,Male,2,pakistan,1.1998903332472008
neonatal_sepsis,draw_197,40.55055,Female,3,pakistan,1.5863951677751087
neonatal_sepsis,draw_197,40.55055,Male,3,pakistan,1.7685306141815131
neonatal_sepsis,draw_197,40.66066,Female,2,ethiopia,2.358252783237283
neonatal_sepsis,draw_197,40.66066,Male,2,ethiopia,2.2356871761078585
neonatal_sepsis,draw_197,40.66066,Female,3,ethiopia,2.9744075940379564
