outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_94,41.87187,Male,2,ethiopia,1.1966783401864072
neonatal_sepsis,draw_94,41.87187,Female,3,ethiopia,1.4793531821401402
neonatal_sepsis,draw_94,41.87187,Male,3,ethiopia,1.4544696540923554
neonatal_sepsis,draw_94,41.98198,Female,2,ethiopia,1.347486331467005
neonatal_sepsis,draw_94,41.98198,Male,2,ethiopia,1.198493569096315
neonatal_sepsis,draw_94,41.98198,Female,3,ethiopia,1.4810332159569874
neonatal_sepsis,draw_94,41.98198,Male,3,ethiopia,1.4558337994200519
neonatal_sepsis,draw_94,42.09209,Female,2,ethiopia,1.3497525370203411
neonatal_sepsis,draw_94,42.09209,Male,2,ethiopia,1.2003080839195064
neonatal_sepsis,draw_94,42.09209,Female,3,ethiopia,1.4827109542894892
neonatal_sepsis,draw_94,42.09209,Male,3,ethiopia,1.4571954052636793
neonatal_sepsis,draw_94,42.2022,Female,2,ethiopia,1.3520163854532896
neonatal_sepsis,draw_94,42.2022,Male,2,ethiopia,1.2021217328185723
neonatal_sepsis,draw_94,42.2022,Female,3,ethiopia,1.4843860610247932
neonatal_sepsis,draw_94,42.2022,Male,3,ethiopia,1.4585545338066868
neonatal_sepsis,draw_94,42.31231,Female,2,ethiopia,1.3542782673872973
neonatal_sepsis,draw_94,42.31231,Male,2,ethiopia,1.2039344640841965
neonatal_sepsis,draw_94,42.31231,Female,3,ethiopia,1.4860586029811518
neonatal_sepsis,draw_94,42.31231,Male,3,ethiopia,1.4599111674396543
neonatal_sepsis,draw_94,42.42242,Female,2,ethiopia,1.3565376283289965
neonatal_sepsis,draw_94,42.42242,Male,2,ethiopia,1.205746062739234
neonatal_sepsis,draw_94,42.42242,Female,3,ethiopia,1.4877283014290459
neonatal_sepsis,draw_94,42.42242,Male,3,ethiopia,1.4612650524208086
neonatal_sepsis,draw_94,42.53253,Female,2,ethiopia,1.3587943312501454
neonatal_sepsis,draw_94,42.53253,Male,2,ethiopia,1.207555593027968
neonatal_sepsis,draw_94,42.53253,Female,3,ethiopia,1.4893947870884277
neonatal_sepsis,draw_94,42.53253,Male,3,ethiopia,1.4626155313815963
neonatal_sepsis,draw_94,42.64264,Female,2,ethiopia,1.3610479113536438
neonatal_sepsis,draw_94,42.64264,Male,2,ethiopia,1.2093636504303042
neonatal_sepsis,draw_94,42.64264,Female,3,ethiopia,1.4910577811801728
neonatal_sepsis,draw_94,42.64264,Male,3,ethiopia,1.4639628982811144
neonatal_sepsis,draw_94,42.75275,Female,2,ethiopia,1.3632989853689153
neonatal_sepsis,draw_94,42.75275,Male,2,ethiopia,1.211170680460864
neonatal_sepsis,draw_94,42.75275,Female,3,ethiopia,1.4927176264276463
neonatal_sepsis,draw_94,42.75275,Male,3,ethiopia,1.4653072898359414
neonatal_sepsis,draw_94,42.86286,Female,2,ethiopia,1.3655474772710234
neonatal_sepsis,draw_94,42.86286,Male,2,ethiopia,1.2129761351738921
neonatal_sepsis,draw_94,42.86286,Female,3,ethiopia,1.4943742956570276
neonatal_sepsis,draw_94,42.86286,Male,3,ethiopia,1.4666484478836292
neonatal_sepsis,draw_94,42.97297,Female,2,ethiopia,1.3677936073877186
neonatal_sepsis,draw_94,42.97297,Male,2,ethiopia,1.214779948343554
neonatal_sepsis,draw_94,42.97297,Female,3,ethiopia,1.4960279553153437
neonatal_sepsis,draw_94,42.97297,Male,3,ethiopia,1.4679864694931668
neonatal_sepsis,draw_94,43.08308,Female,2,ethiopia,1.370036357459637
neonatal_sepsis,draw_94,43.08308,Male,2,ethiopia,1.2165817987762888
neonatal_sepsis,draw_94,43.08308,Female,3,ethiopia,1.4976781352256692
neonatal_sepsis,draw_94,43.08308,Male,3,ethiopia,1.4693211410542613
neonatal_sepsis,draw_94,43.19319,Female,2,ethiopia,1.372276089362463
neonatal_sepsis,draw_94,43.19319,Male,2,ethiopia,1.218382271708595
neonatal_sepsis,draw_94,43.19319,Female,3,ethiopia,1.499324958107043
neonatal_sepsis,draw_94,43.19319,Male,3,ethiopia,1.4706526320282152
neonatal_sepsis,draw_94,43.3033,Female,2,ethiopia,1.3745129745413143
neonatal_sepsis,draw_94,43.3033,Male,2,ethiopia,1.2201811247202778
neonatal_sepsis,draw_94,43.3033,Female,3,ethiopia,1.5009687577851976
neonatal_sepsis,draw_94,43.3033,Male,3,ethiopia,1.4719808661245881
neonatal_sepsis,draw_94,43.41341,Female,2,ethiopia,1.3767467230407637
neonatal_sepsis,draw_94,43.41341,Male,2,ethiopia,1.2219788449427322
neonatal_sepsis,draw_94,43.41341,Female,3,ethiopia,1.5026093418944397
neonatal_sepsis,draw_94,43.41341,Male,3,ethiopia,1.4733061814673882
neonatal_sepsis,draw_94,43.52352,Female,2,ethiopia,1.3789774833682782
neonatal_sepsis,draw_94,43.52352,Male,2,ethiopia,1.2237742555247644
neonatal_sepsis,draw_94,43.52352,Female,3,ethiopia,1.5042465783376613
neonatal_sepsis,draw_94,43.52352,Male,3,ethiopia,1.4746277725083685
neonatal_sepsis,draw_94,43.63363,Female,2,ethiopia,1.3812054923233603
neonatal_sepsis,draw_94,43.63363,Male,2,ethiopia,1.225567713066767
neonatal_sepsis,draw_94,43.63363,Female,3,ethiopia,1.5058805838973128
neonatal_sepsis,draw_94,43.63363,Male,3,ethiopia,1.4759457908156626
neonatal_sepsis,draw_94,43.74374,Female,2,ethiopia,1.3834306167242942
neonatal_sepsis,draw_94,43.74374,Male,2,ethiopia,1.2273594159892127
neonatal_sepsis,draw_94,43.74374,Female,3,ethiopia,1.5075113599193648
neonatal_sepsis,draw_94,43.74374,Male,3,ethiopia,1.4772603600122205
neonatal_sepsis,draw_94,43.85385,Female,2,ethiopia,1.385651637745287
neonatal_sepsis,draw_94,43.85385,Male,2,ethiopia,1.229148975916295
neonatal_sepsis,draw_94,43.85385,Female,3,ethiopia,1.5091380737918332
neonatal_sepsis,draw_94,43.85385,Male,3,ethiopia,1.4785710791003142
neonatal_sepsis,draw_94,43.96396,Female,2,ethiopia,1.3878698519596786
neonatal_sepsis,draw_94,43.96396,Male,2,ethiopia,1.230936458947098
neonatal_sepsis,draw_94,43.96396,Female,3,ethiopia,1.510761398538374
neonatal_sepsis,draw_94,43.96396,Male,3,ethiopia,1.4798782162331015
neonatal_sepsis,draw_94,44.07407,Female,2,ethiopia,1.3900858297891168
neonatal_sepsis,draw_94,44.07407,Male,2,ethiopia,1.2327221500110854
neonatal_sepsis,draw_94,44.07407,Female,3,ethiopia,1.5123818096887822
neonatal_sepsis,draw_94,44.07407,Male,3,ethiopia,1.4811818648155683
neonatal_sepsis,draw_94,44.18418,Female,2,ethiopia,1.3922981250137498
neonatal_sepsis,draw_94,44.18418,Male,2,ethiopia,1.2347702299702572
neonatal_sepsis,draw_94,44.18418,Female,3,ethiopia,1.5139984843177696
neonatal_sepsis,draw_94,44.18418,Male,3,ethiopia,1.4827107467761889
neonatal_sepsis,draw_94,44.29429,Female,2,ethiopia,1.3945072704151362
neonatal_sepsis,draw_94,44.29429,Male,2,ethiopia,1.2368885872187028
neonatal_sepsis,draw_94,44.29429,Female,3,ethiopia,1.5156116835732811
neonatal_sepsis,draw_94,44.29429,Male,3,ethiopia,1.484298273456031
neonatal_sepsis,draw_94,44.4044,Female,2,ethiopia,1.3967135744095895
neonatal_sepsis,draw_94,44.4044,Male,2,ethiopia,1.239005368764067
neonatal_sepsis,draw_94,44.4044,Female,3,ethiopia,1.5172214340280696
neonatal_sepsis,draw_94,44.4044,Male,3,ethiopia,1.4858823303387236
neonatal_sepsis,draw_94,44.51451,Female,2,ethiopia,1.3989168424595513
neonatal_sepsis,draw_94,44.51451,Male,2,ethiopia,1.2411217273727604
neonatal_sepsis,draw_94,44.51451,Female,3,ethiopia,1.5188277324495034
neonatal_sepsis,draw_94,44.51451,Male,3,ethiopia,1.4874635908401583
neonatal_sepsis,draw_94,44.62462,Female,2,ethiopia,1.401116228263382
neonatal_sepsis,draw_94,44.62462,Male,2,ethiopia,1.24323604499737
neonatal_sepsis,draw_94,44.62462,Female,3,ethiopia,1.5204301721794853
neonatal_sepsis,draw_94,44.62462,Male,3,ethiopia,1.4890413096617527
neonatal_sepsis,draw_94,44.73473,Female,2,ethiopia,1.4033110456852103
neonatal_sepsis,draw_94,44.73473,Male,2,ethiopia,1.245348878244931
neonatal_sepsis,draw_94,44.73473,Female,3,ethiopia,1.5220281500206696
neonatal_sepsis,draw_94,44.73473,Male,3,ethiopia,1.4906156654377805
neonatal_sepsis,draw_94,44.84484,Female,2,ethiopia,1.4055027628841232
neonatal_sepsis,draw_94,44.84484,Male,2,ethiopia,1.2474602126643979
neonatal_sepsis,draw_94,44.84484,Female,3,ethiopia,1.5236224037065111
neonatal_sepsis,draw_94,44.84484,Male,3,ethiopia,1.4921862947124591
