outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_167,40.0,Female,2,ethiopia,2.2906394922660627
neonatal_sepsis,draw_167,40.0,Male,2,ethiopia,1.9567624861615922
neonatal_sepsis,draw_167,40.0,Female,3,ethiopia,2.451094880601389
neonatal_sepsis,draw_167,40.0,Male,3,ethiopia,2.3100920705240755
neonatal_sepsis,draw_167,40.0,Female,2,nigeria,2.20917032696099
neonatal_sepsis,draw_167,40.0,Male,2,nigeria,2.123511401720379
neonatal_sepsis,draw_167,40.0,Female,3,nigeria,2.396141424142829
neonatal_sepsis,draw_167,40.0,Male,3,nigeria,2.4269289467554644
neonatal_sepsis,draw_167,40.0,Female,2,pakistan,0.9760234284359424
neonatal_sepsis,draw_167,40.0,Male,2,pakistan,1.1259350173244287
neonatal_sepsis,draw_167,40.0,Female,3,pakistan,1.3406129803125133
neonatal_sepsis,draw_167,40.0,Male,3,pakistan,1.5534421798256388
neonatal_sepsis,draw_167,40.11011,Female,2,ethiopia,2.293353199420294
neonatal_sepsis,draw_167,40.11011,Male,2,ethiopia,1.9597950766178416
neonatal_sepsis,draw_167,40.11011,Female,3,ethiopia,2.4529507593450197
neonatal_sepsis,draw_167,40.11011,Male,3,ethiopia,2.3123359891518445
neonatal_sepsis,draw_167,40.11011,Female,2,nigeria,2.21202010035893
neonatal_sepsis,draw_167,40.11011,Male,2,nigeria,2.126273474118462
neonatal_sepsis,draw_167,40.11011,Female,3,nigeria,2.3981430690849437
neonatal_sepsis,draw_167,40.11011,Male,3,nigeria,2.4288661764221247
neonatal_sepsis,draw_167,40.11011,Female,2,pakistan,0.9791587389014873
neonatal_sepsis,draw_167,40.11011,Male,2,pakistan,1.1291486368267465
neonatal_sepsis,draw_167,40.11011,Female,3,pakistan,1.343580045292604
neonatal_sepsis,draw_167,40.11011,Male,3,pakistan,1.556397975420411
neonatal_sepsis,draw_167,40.22022,Female,2,ethiopia,2.296061844659051
neonatal_sepsis,draw_167,40.22022,Male,2,ethiopia,1.9628246110767342
neonatal_sepsis,draw_167,40.22022,Female,3,ethiopia,2.4548008294329113
neonatal_sepsis,draw_167,40.22022,Male,3,ethiopia,2.314574748261644
neonatal_sepsis,draw_167,40.22022,Female,2,nigeria,2.2148649195581536
neonatal_sepsis,draw_167,40.22022,Male,2,nigeria,2.1290297034794574
neonatal_sepsis,draw_167,40.22022,Female,3,nigeria,2.400138738441471
neonatal_sepsis,draw_167,40.22022,Male,3,nigeria,2.4307969106786724
neonatal_sepsis,draw_167,40.22022,Female,2,pakistan,0.9823042717395041
neonatal_sepsis,draw_167,40.22022,Male,2,pakistan,1.1323700581460503
neonatal_sepsis,draw_167,40.22022,Female,3,pakistan,1.3465507991368801
neonatal_sepsis,draw_167,40.22022,Male,3,pakistan,1.5593555921702833
neonatal_sepsis,draw_167,40.33033,Female,2,ethiopia,2.2987620865228857
neonatal_sepsis,draw_167,40.33033,Male,2,ethiopia,1.965849938311375
neonatal_sepsis,draw_167,40.33033,Female,3,ethiopia,2.456643301073323
neonatal_sepsis,draw_167,40.33033,Male,3,ethiopia,2.316807402918604
neonatal_sepsis,draw_167,40.33033,Female,2,nigeria,2.2177032369564373
neonatal_sepsis,draw_167,40.33033,Male,2,nigeria,2.131781170067424
neonatal_sepsis,draw_167,40.33033,Female,3,nigeria,2.4021275707991854
neonatal_sepsis,draw_167,40.33033,Male,3,nigeria,2.4327216041248843
neonatal_sepsis,draw_167,40.33033,Female,2,pakistan,0.9854591458895168
neonatal_sepsis,draw_167,40.33033,Male,2,pakistan,1.1355982041685722
neonatal_sepsis,draw_167,40.33033,Female,3,pakistan,1.3495250178923728
neonatal_sepsis,draw_167,40.33033,Male,3,pakistan,1.5623150050613333
neonatal_sepsis,draw_167,40.44044,Female,2,ethiopia,2.3014572120540553
neonatal_sepsis,draw_167,40.44044,Male,2,ethiopia,1.9688734542420567
neonatal_sepsis,draw_167,40.44044,Female,3,ethiopia,2.45847983764898
neonatal_sepsis,draw_167,40.44044,Male,3,ethiopia,2.319035197975686
neonatal_sepsis,draw_167,40.44044,Female,2,nigeria,2.2205367893395693
neonatal_sepsis,draw_167,40.44044,Male,2,nigeria,2.134527372874721
neonatal_sepsis,draw_167,40.44044,Female,3,nigeria,2.4041105597318637
neonatal_sepsis,draw_167,40.44044,Male,3,nigeria,2.4346397094740104
neonatal_sepsis,draw_167,40.44044,Female,2,pakistan,0.9886234666642816
neonatal_sepsis,draw_167,40.44044,Male,2,pakistan,1.1388334669628233
neonatal_sepsis,draw_167,40.44044,Female,3,pakistan,1.352502806354354
neonatal_sepsis,draw_167,40.44044,Male,3,pakistan,1.565275901866559
neonatal_sepsis,draw_167,40.55055,Female,2,ethiopia,2.3041436788300866
neonatal_sepsis,draw_167,40.55055,Male,2,ethiopia,1.9718929406750643
neonatal_sepsis,draw_167,40.55055,Female,3,ethiopia,2.460308424306257
neonatal_sepsis,draw_167,40.55055,Male,3,ethiopia,2.321256875274342
neonatal_sepsis,draw_167,40.55055,Female,2,nigeria,2.2233628339239515
neonatal_sepsis,draw_167,40.55055,Male,2,nigeria,2.137268060080374
neonatal_sepsis,draw_167,40.55055,Female,3,nigeria,2.4060862374555128
neonatal_sepsis,draw_167,40.55055,Male,3,nigeria,2.436550958563253
neonatal_sepsis,draw_167,40.55055,Female,2,pakistan,0.9917970851902603
neonatal_sepsis,draw_167,40.55055,Male,2,pakistan,1.1420759458316248
neonatal_sepsis,draw_167,40.55055,Female,3,pakistan,1.3554837997101974
neonatal_sepsis,draw_167,40.55055,Male,3,pakistan,1.5682382480318668
neonatal_sepsis,draw_167,40.66066,Female,2,ethiopia,2.3068242282989964
neonatal_sepsis,draw_167,40.66066,Male,2,ethiopia,1.9749085488890756
neonatal_sepsis,draw_167,40.66066,Female,3,ethiopia,2.462130217272484
neonatal_sepsis,draw_167,40.66066,Male,3,ethiopia,2.323472150575817
neonatal_sepsis,draw_167,40.66066,Female,2,nigeria,2.2261822109907463
neonatal_sepsis,draw_167,40.66066,Male,2,nigeria,2.1400029159633887
neonatal_sepsis,draw_167,40.66066,Female,3,nigeria,2.4080548331201506
neonatal_sepsis,draw_167,40.66066,Male,3,nigeria,2.438454782890286
