location,draw,sex,age_start,age_end,parameter,value
nigeria,draw_28,Female,0.0,0.01917808,41.32132,0.6511864354256697
nigeria,draw_28,Male,0.0,0.01917808,41.32132,0.6334335057990311
pakistan,draw_28,Female,0.0,0.01917808,41.32132,0.35453447426574025
pakistan,draw_28,Male,0.0,0.01917808,41.32132,0.41103510605583804
ethiopia,draw_28,Female,0.0,0.01917808,41.43143,0.7306096936961503
ethiopia,draw_28,Male,0.0,0.01917808,41.43143,0.6538861136281243
nigeria,draw_28,Female,0.0,0.01917808,41.43143,0.6522794141715328
nigeria,draw_28,Male,0.0,0.01917808,41.43143,0.6345070790006081
pakistan,draw_28,Female,0.0,0.01917808,41.43143,0.3555496236765193
pakistan,draw_28,Male,0.0,0.01917808,41.43143,0.41206058472705337
ethiopia,draw_28,Female,0.0,0.01917808,41.54154,0.7316560428409578
ethiopia,draw_28,Male,0.0,0.01917808,41.54154,0.6549258710442664
nigeria,draw_28,Female,0.0,0.01917808,41.54154,0.6533727415448819
nigeria,draw_28,Male,0.0,0.01917808,41.54154,0.6355810684871592
pakistan,draw_28,Female,0.0,0.01917808,41.54154,0.3565675323635341
pakistan,draw_28,Male,0.0,0.01917808,41.54154,0.41308793169029023
ethiopia,draw_28,Female,0.0,0.01917808,41.65165,0.732702300601869
ethiopia,draw_28,Male,0.0,0.01917808,41.65165,0.655966346162697
nigeria,draw_28,Female,0.0,0.01917808,41.65165,0.6544666310262476
nigeria,draw_28,Male,0.0,0.01917808,41.65165,0.6366557066563048
pakistan,draw_28,Female,0.0,0.01917808,41.65165,0.35758827855274405
pakistan,draw_28,Male,0.0,0.01917808,41.65165,0.41411707870644265
ethiopia,draw_28,Female,0.0,0.01917808,41.76176,0.7337486459083076
ethiopia,draw_28,Male,0.0,0.01917808,41.76176,0.657007065006646
nigeria,draw_28,Female,0.0,0.01917808,41.76176,0.6555606712264066
nigeria,draw_28,Male,0.0,0.01917808,41.76176,0.6377308870558608
pakistan,draw_28,Female,0.0,0.01917808,41.76176,0.3586118775212584
pakistan,draw_28,Male,0.0,0.01917808,41.76176,0.4151479632919165
ethiopia,draw_28,Female,0.0,0.01917808,41.87187,0.7347944916246245
ethiopia,draw_28,Male,0.0,0.01917808,41.87187,0.6580482115238349
nigeria,draw_28,Female,0.0,0.01917808,41.87187,0.6566551753493446
nigeria,draw_28,Male,0.0,0.01917808,41.87187,0.6388065235933754
pakistan,draw_28,Female,0.0,0.01917808,41.87187,0.3596384689327889
pakistan,draw_28,Male,0.0,0.01917808,41.87187,0.41618055761308226
ethiopia,draw_28,Female,0.0,0.01917808,41.98198,0.7358406676315452
ethiopia,draw_28,Male,0.0,0.01917808,41.98198,0.6590900934487466
nigeria,draw_28,Female,0.0,0.01917808,41.98198,0.6577499106658399
nigeria,draw_28,Male,0.0,0.01917808,41.98198,0.6398826530418753
pakistan,draw_28,Female,0.0,0.01917808,41.98198,0.3606678637515319
pakistan,draw_28,Male,0.0,0.01917808,41.98198,0.4172149118886607
ethiopia,draw_28,Female,0.0,0.01917808,42.09209,0.7368865755058812
ethiopia,draw_28,Male,0.0,0.01917808,42.09209,0.660132237541501
nigeria,draw_28,Female,0.0,0.01917808,42.09209,0.6588454039528234
nigeria,draw_28,Male,0.0,0.01917808,42.09209,0.6409594207424972
pakistan,draw_28,Female,0.0,0.01917808,42.09209,0.36170007348309635
pakistan,draw_28,Male,0.0,0.01917808,42.09209,0.41825098547333267
ethiopia,draw_28,Female,0.0,0.01917808,42.2022,0.7379322839465103
ethiopia,draw_28,Male,0.0,0.01917808,42.2022,0.6611747206674028
nigeria,draw_28,Female,0.0,0.01917808,42.2022,0.659941074564399
nigeria,draw_28,Male,0.0,0.01917808,42.2022,0.6420366460099207
pakistan,draw_28,Female,0.0,0.01917808,42.2022,0.3627349833694181
pakistan,draw_28,Male,0.0,0.01917808,42.2022,0.41928882260362416
ethiopia,draw_28,Female,0.0,0.01917808,42.31231,0.7389781303850929
ethiopia,draw_28,Male,0.0,0.01917808,42.31231,0.6622176886599098
nigeria,draw_28,Female,0.0,0.01917808,42.31231,0.6610372389102686
nigeria,draw_28,Male,0.0,0.01917808,42.31231,0.6431146027216754
pakistan,draw_28,Female,0.0,0.01917808,42.31231,0.3637728662016509
pakistan,draw_28,Male,0.0,0.01917808,42.31231,0.4203284428105755
