outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_115,40.0,Female,2,ethiopia,1.556570172013591
neonatal_sepsis,draw_115,40.0,Male,2,ethiopia,1.3682942654061743
neonatal_sepsis,draw_115,40.0,Female,3,ethiopia,1.6688753255065265
neonatal_sepsis,draw_115,40.0,Male,3,ethiopia,1.636392790292792
neonatal_sepsis,draw_115,40.0,Female,2,nigeria,1.4290079363302073
neonatal_sepsis,draw_115,40.0,Male,2,nigeria,1.4168731856787915
neonatal_sepsis,draw_115,40.0,Female,3,nigeria,1.5739956050009647
neonatal_sepsis,draw_115,40.0,Male,3,nigeria,1.658630269326637
neonatal_sepsis,draw_115,40.0,Female,2,pakistan,0.6573993629531143
neonatal_sepsis,draw_115,40.0,Male,2,pakistan,0.7973756528724043
neonatal_sepsis,draw_115,40.0,Female,3,pakistan,0.9144619438187275
neonatal_sepsis,draw_115,40.0,Male,3,pakistan,1.1082304800097607
neonatal_sepsis,draw_115,40.11011,Female,2,ethiopia,1.5583697531802452
neonatal_sepsis,draw_115,40.11011,Male,2,ethiopia,1.370436644377984
neonatal_sepsis,draw_115,40.11011,Female,3,ethiopia,1.670191911716068
neonatal_sepsis,draw_115,40.11011,Male,3,ethiopia,1.6380310968599898
neonatal_sepsis,draw_115,40.11011,Female,2,nigeria,1.4309780560189038
neonatal_sepsis,draw_115,40.11011,Male,2,nigeria,1.4187948704385838
neonatal_sepsis,draw_115,40.11011,Female,3,nigeria,1.575458037186655
neonatal_sepsis,draw_115,40.11011,Male,3,nigeria,1.6600400884769955
neonatal_sepsis,draw_115,40.11011,Female,2,pakistan,0.6595032211082733
neonatal_sepsis,draw_115,40.11011,Male,2,pakistan,0.7996639369038889
neonatal_sepsis,draw_115,40.11011,Female,3,pakistan,0.9164940435571388
neonatal_sepsis,draw_115,40.11011,Male,3,pakistan,1.1103908556904363
neonatal_sepsis,draw_115,40.22022,Female,2,ethiopia,1.5601670069425755
neonatal_sepsis,draw_115,40.22022,Male,2,ethiopia,1.3725776835255756
neonatal_sepsis,draw_115,40.22022,Female,3,ethiopia,1.6715059850001317
neonatal_sepsis,draw_115,40.22022,Male,3,ethiopia,1.6396665646174289
neonatal_sepsis,draw_115,40.22022,Female,2,nigeria,1.432945787439828
neonatal_sepsis,draw_115,40.22022,Male,2,nigeria,1.4207145543988922
neonatal_sepsis,draw_115,40.22022,Female,3,nigeria,1.576917581303485
neonatal_sepsis,draw_115,40.22022,Male,3,nigeria,1.6614467758038312
neonatal_sepsis,draw_115,40.22022,Female,2,pakistan,0.661613225925254
neonatal_sepsis,draw_115,40.22022,Male,2,pakistan,0.801957590477516
neonatal_sepsis,draw_115,40.22022,Female,3,pakistan,0.918528867369653
neonatal_sepsis,draw_115,40.22022,Male,3,pakistan,1.112553470829488
neonatal_sepsis,draw_115,40.33033,Female,2,ethiopia,1.5619611211513338
neonatal_sepsis,draw_115,40.33033,Male,2,ethiopia,1.3747173527274725
neonatal_sepsis,draw_115,40.33033,Female,3,ethiopia,1.6728170259267672
