location,draw,sex,age_start,age_end,parameter,value
ethiopia,draw_60,Female,0.0,0.01917808,40.0,1.0289462903615558
ethiopia,draw_60,Male,0.0,0.01917808,40.0,0.897590039162696
nigeria,draw_60,Female,0.0,0.01917808,40.0,0.9347257723121537
nigeria,draw_60,Male,0.0,0.01917808,40.0,0.9295291095855823
pakistan,draw_60,Female,0.0,0.01917808,40.0,0.45636279202462093
pakistan,draw_60,Male,0.0,0.01917808,40.0,0.5379197537741126
ethiopia,draw_60,Female,0.0,0.01917808,40.11011,1.0305440119724452
ethiopia,draw_60,Male,0.0,0.01917808,40.11011,0.898903603374209
nigeria,draw_60,Female,0.0,0.01917808,40.11011,0.935991753096997
nigeria,draw_60,Male,0.0,0.01917808,40.11011,0.9307285801311547
pakistan,draw_60,Female,0.0,0.01917808,40.11011,0.4577464449181944
pakistan,draw_60,Male,0.0,0.01917808,40.11011,0.5394198103655091
ethiopia,draw_60,Female,0.0,0.01917808,40.22022,1.0321411461044374
ethiopia,draw_60,Male,0.0,0.01917808,40.22022,0.9002168730811744
nigeria,draw_60,Female,0.0,0.01917808,40.22022,0.9372574392068255
nigeria,draw_60,Male,0.0,0.01917808,40.22022,0.9319277194087655
pakistan,draw_60,Female,0.0,0.01917808,40.22022,0.45913422052503994
pakistan,draw_60,Male,0.0,0.01917808,40.22022,0.5409234461644509
ethiopia,draw_60,Female,0.0,0.01917808,40.33033,1.0337372759883925
ethiopia,draw_60,Male,0.0,0.01917808,40.33033,0.9015303820168523
nigeria,draw_60,Female,0.0,0.01917808,40.33033,0.9385222710355621
nigeria,draw_60,Male,0.0,0.01917808,40.33033,0.9331266380798465
pakistan,draw_60,Female,0.0,0.01917808,40.33033,0.4605262710800568
pakistan,draw_60,Male,0.0,0.01917808,40.33033,0.5424301733907609
ethiopia,draw_60,Female,0.0,0.01917808,40.44044,1.035333017702011
ethiopia,draw_60,Male,0.0,0.01917808,40.44044,0.9028439093287974
nigeria,draw_60,Female,0.0,0.01917808,40.44044,0.9397866842359368
nigeria,draw_60,Male,0.0,0.01917808,40.44044,0.9343458249024174
pakistan,draw_60,Female,0.0,0.01917808,40.44044,0.461922536687349
pakistan,draw_60,Male,0.0,0.01917808,40.44044,0.5439409047519973
ethiopia,draw_60,Female,0.0,0.01917808,40.55055,1.0369277559265222
ethiopia,draw_60,Male,0.0,0.01917808,40.55055,0.9041573968058118
nigeria,draw_60,Female,0.0,0.01917808,40.55055,0.941050712721288
nigeria,draw_60,Male,0.0,0.01917808,40.55055,0.935912408457928
pakistan,draw_60,Female,0.0,0.01917808,40.55055,0.463323590182491
pakistan,draw_60,Male,0.0,0.01917808,40.55055,0.5454552781394909
ethiopia,draw_60,Female,0.0,0.01917808,40.66066,1.0385214120666917
ethiopia,draw_60,Male,0.0,0.01917808,40.66066,0.9054704692598976
nigeria,draw_60,Female,0.0,0.01917808,40.66066,0.9423137861149572
nigeria,draw_60,Male,0.0,0.01917808,40.66066,0.9374791155645628
pakistan,draw_60,Female,0.0,0.01917808,40.66066,0.464729014662818
pakistan,draw_60,Male,0.0,0.01917808,40.66066,0.546973344012092
ethiopia,draw_60,Female,0.0,0.01917808,40.77077,1.04011401206574
ethiopia,draw_60,Male,0.0,0.01917808,40.77077,0.9067836259062553
nigeria,draw_60,Female,0.0,0.01917808,40.77077,0.9435757526680639
nigeria,draw_60,Male,0.0,0.01917808,40.77077,0.9390452934680673
pakistan,draw_60,Female,0.0,0.01917808,40.77077,0.4661388046227
pakistan,draw_60,Male,0.0,0.01917808,40.77077,0.5484948050153757
ethiopia,draw_60,Female,0.0,0.01917808,40.88088,1.0417056240236724
ethiopia,draw_60,Male,0.0,0.01917808,40.88088,0.9080965000313924
nigeria,draw_60,Female,0.0,0.01917808,40.88088,0.9448372554781528
nigeria,draw_60,Male,0.0,0.01917808,40.88088,0.9406117598907142
pakistan,draw_60,Female,0.0,0.01917808,40.88088,0.46755269724358406
pakistan,draw_60,Male,0.0,0.01917808,40.88088,0.5500197401737579
ethiopia,draw_60,Female,0.0,0.01917808,40.99099,1.0432968196256525
ethiopia,draw_60,Male,0.0,0.01917808,40.99099,0.9094091168058316
nigeria,draw_60,Female,0.0,0.01917808,40.99099,0.9460975776482807
nigeria,draw_60,Male,0.0,0.01917808,40.99099,0.9421785465693298
pakistan,draw_60,Female,0.0,0.01917808,40.99099,0.4689704020540568
pakistan,draw_60,Male,0.0,0.01917808,40.99099,0.5515482781708567
ethiopia,draw_60,Female,0.0,0.01917808,41.1011,1.0448866219351813
ethiopia,draw_60,Male,0.0,0.01917808,41.1011,0.9107213243129086
nigeria,draw_60,Female,0.0,0.01917808,41.1011,0.9476553305319324
nigeria,draw_60,Male,0.0,0.01917808,41.1011,0.9437448415916827
pakistan,draw_60,Female,0.0,0.01917808,41.1011,0.4703922208438835
pakistan,draw_60,Male,0.0,0.01917808,41.1011,0.5530802312437861
ethiopia,draw_60,Female,0.0,0.01917808,41.21121,1.0464755481891679
ethiopia,draw_60,Male,0.0,0.01917808,41.21121,0.9120334742855071
nigeria,draw_60,Female,0.0,0.01917808,41.21121,0.9493026610892252
nigeria,draw_60,Male,0.0,0.01917808,41.21121,0.9453108742178994
pakistan,draw_60,Female,0.0,0.01917808,41.21121,0.4718180450217027
pakistan,draw_60,Male,0.0,0.01917808,41.21121,0.5546157739281479
ethiopia,draw_60,Female,0.0,0.01917808,41.32132,1.0480627070279718
ethiopia,draw_60,Male,0.0,0.01917808,41.32132,0.9133450594778867
nigeria,draw_60,Female,0.0,0.01917808,41.32132,0.9509501167154094
nigeria,draw_60,Male,0.0,0.01917808,41.32132,0.946876836493598
pakistan,draw_60,Female,0.0,0.01917808,41.32132,0.4732484287136295
pakistan,draw_60,Male,0.0,0.01917808,41.32132,0.5561546446984508
ethiopia,draw_60,Female,0.0,0.01917808,41.43143,1.049648424514508
ethiopia,draw_60,Male,0.0,0.01917808,41.43143,0.9146561504568017
nigeria,draw_60,Female,0.0,0.01917808,41.43143,0.9525972222836369
nigeria,draw_60,Male,0.0,0.01917808,41.43143,0.9484428502708682
pakistan,draw_60,Female,0.0,0.01917808,41.43143,0.47468297443325363
pakistan,draw_60,Male,0.0,0.01917808,41.43143,0.5576971195467811
ethiopia,draw_60,Female,0.0,0.01917808,41.54154,1.0512331165012458
ethiopia,draw_60,Male,0.0,0.01917808,41.54154,0.9159674111787474
nigeria,draw_60,Female,0.0,0.01917808,41.54154,0.9542437184339801
nigeria,draw_60,Male,0.0,0.01917808,41.54154,0.9500088020505719
pakistan,draw_60,Female,0.0,0.01917808,41.54154,0.47612162414727105
pakistan,draw_60,Male,0.0,0.01917808,41.54154,0.5592427037781654
ethiopia,draw_60,Female,0.0,0.01917808,41.65165,1.0528170253440006
ethiopia,draw_60,Male,0.0,0.01917808,41.65165,0.9172780399511644
nigeria,draw_60,Female,0.0,0.01917808,41.65165,0.9558895538209784
nigeria,draw_60,Male,0.0,0.01917808,41.65165,0.9515747587319983
pakistan,draw_60,Female,0.0,0.01917808,41.65165,0.4775648964393607
pakistan,draw_60,Male,0.0,0.01917808,41.65165,0.5607919646145471
ethiopia,draw_60,Female,0.0,0.01917808,41.76176,1.0543990588383665
ethiopia,draw_60,Male,0.0,0.01917808,41.76176,0.9185881017678572
nigeria,draw_60,Female,0.0,0.01917808,41.76176,0.9575355401553964
nigeria,draw_60,Male,0.0,0.01917808,41.76176,0.9531402353886844
pakistan,draw_60,Female,0.0,0.01917808,41.76176,0.47901270589624134
pakistan,draw_60,Male,0.0,0.01917808,41.76176,0.5623445425425667
ethiopia,draw_60,Female,0.0,0.01917808,41.87187,1.055979741283821
ethiopia,draw_60,Male,0.0,0.01917808,41.87187,0.919898529319421
nigeria,draw_60,Female,0.0,0.01917808,41.87187,0.9591811013303363
nigeria,draw_60,Male,0.0,0.01917808,41.87187,0.954705099438192
pakistan,draw_60,Female,0.0,0.01917808,41.87187,0.4804646461527233
pakistan,draw_60,Male,0.0,0.01917808,41.87187,0.5639007238996325
ethiopia,draw_60,Female,0.0,0.01917808,41.98198,1.0575588202430473
ethiopia,draw_60,Male,0.0,0.01917808,41.98198,0.9212487441489846
nigeria,draw_60,Female,0.0,0.01917808,41.98198,0.960825896611945
nigeria,draw_60,Male,0.0,0.01917808,41.98198,0.9562703470325628
pakistan,draw_60,Female,0.0,0.01917808,41.98198,0.48192100681364025
pakistan,draw_60,Male,0.0,0.01917808,41.98198,0.5654607045185153
ethiopia,draw_60,Female,0.0,0.01917808,42.09209,1.059136952479671
ethiopia,draw_60,Male,0.0,0.01917808,42.09209,0.9228003164942955
nigeria,draw_60,Female,0.0,0.01917808,42.09209,0.962470253744066
nigeria,draw_60,Male,0.0,0.01917808,42.09209,0.957834585604782
pakistan,draw_60,Female,0.0,0.01917808,42.09209,0.48338154920691095
pakistan,draw_60,Male,0.0,0.01917808,42.09209,0.567024183195314
ethiopia,draw_60,Female,0.0,0.01917808,42.2022,1.06071344122506
ethiopia,draw_60,Male,0.0,0.01917808,42.2022,0.9243516215931817
nigeria,draw_60,Female,0.0,0.01917808,42.2022,0.9641135110716142
nigeria,draw_60,Male,0.0,0.01917808,42.2022,0.9593993986976806
pakistan,draw_60,Female,0.0,0.01917808,42.2022,0.48484655545999195
pakistan,draw_60,Male,0.0,0.01917808,42.2022,0.5685915084945548
ethiopia,draw_60,Female,0.0,0.01917808,42.31231,1.0622888656491276
ethiopia,draw_60,Male,0.0,0.01917808,42.31231,0.9259032690008362
nigeria,draw_60,Female,0.0,0.01917808,42.31231,0.9657563328542039
nigeria,draw_60,Male,0.0,0.01917808,42.31231,0.9609631404876143
pakistan,draw_60,Female,0.0,0.01917808,42.31231,0.4863159323644449
pakistan,draw_60,Male,0.0,0.01917808,42.31231,0.5701623423036453
ethiopia,draw_60,Female,0.0,0.01917808,42.42242,1.063862376193753
ethiopia,draw_60,Male,0.0,0.01917808,42.42242,0.9274541591203461
nigeria,draw_60,Female,0.0,0.01917808,42.42242,0.9673984265445172
nigeria,draw_60,Male,0.0,0.01917808,42.42242,0.9625269932359892
pakistan,draw_60,Female,0.0,0.01917808,42.42242,0.487789667692401
pakistan,draw_60,Male,0.0,0.01917808,42.42242,0.5717358110284204
ethiopia,draw_60,Female,0.0,0.01917808,42.53253,1.0654343119617837
ethiopia,draw_60,Male,0.0,0.01917808,42.53253,0.9290053143473397
nigeria,draw_60,Female,0.0,0.01917808,42.53253,0.9690390259690488
nigeria,draw_60,Male,0.0,0.01917808,42.53253,0.9640904534775459
pakistan,draw_60,Female,0.0,0.01917808,42.53253,0.4892677859873961
pakistan,draw_60,Male,0.0,0.01917808,42.53253,0.5733121457729552
ethiopia,draw_60,Female,0.0,0.01917808,42.64264,1.067004481620934
ethiopia,draw_60,Male,0.0,0.01917808,42.64264,0.9305563227471992
nigeria,draw_60,Female,0.0,0.01917808,42.64264,0.9706786108035124
nigeria,draw_60,Male,0.0,0.01917808,42.64264,0.9656532159141363
pakistan,draw_60,Female,0.0,0.01917808,42.64264,0.4907499523693079
pakistan,draw_60,Male,0.0,0.01917808,42.64264,0.5748911687750056
ethiopia,draw_60,Female,0.0,0.01917808,42.75275,1.068573603968303
ethiopia,draw_60,Male,0.0,0.01917808,42.75275,0.9321062509494569
nigeria,draw_60,Female,0.0,0.01917808,42.75275,0.9723173882588798
nigeria,draw_60,Male,0.0,0.01917808,42.75275,0.9672149688638473
pakistan,draw_60,Female,0.0,0.01917808,42.75275,0.4922362503713246
pakistan,draw_60,Male,0.0,0.01917808,42.75275,0.5764730447452606
ethiopia,draw_60,Female,0.0,0.01917808,42.86286,1.0701404298141675
ethiopia,draw_60,Male,0.0,0.01917808,42.86286,0.9336556768727354
nigeria,draw_60,Female,0.0,0.01917808,42.86286,0.9739543976564381
nigeria,draw_60,Male,0.0,0.01917808,42.86286,0.9687765608559065
pakistan,draw_60,Female,0.0,0.01917808,42.86286,0.49372678555452315
pakistan,draw_60,Male,0.0,0.01917808,42.86286,0.5780574538001411
ethiopia,draw_60,Female,0.0,0.01917808,42.97297,1.071706195474806
ethiopia,draw_60,Male,0.0,0.01917808,42.97297,0.9352047662458749
nigeria,draw_60,Female,0.0,0.01917808,42.97297,0.9755905122807247
nigeria,draw_60,Male,0.0,0.01917808,42.97297,0.9703373868762698
pakistan,draw_60,Female,0.0,0.01917808,42.97297,0.495221802228116
pakistan,draw_60,Male,0.0,0.01917808,42.97297,0.579644567237163
ethiopia,draw_60,Female,0.0,0.01917808,43.08308,1.07327042935023
ethiopia,draw_60,Male,0.0,0.01917808,43.08308,0.9367545461135326
nigeria,draw_60,Female,0.0,0.01917808,43.08308,0.9772261831405734
nigeria,draw_60,Male,0.0,0.01917808,43.08308,0.971897459571139
pakistan,draw_60,Female,0.0,0.01917808,43.08308,0.49672109875171633
pakistan,draw_60,Male,0.0,0.01917808,43.08308,0.5812347188705638
ethiopia,draw_60,Female,0.0,0.01917808,43.19319,1.0748323087209548
ethiopia,draw_60,Male,0.0,0.01917808,43.19319,0.9383037683956774
nigeria,draw_60,Female,0.0,0.01917808,43.19319,0.9788612238604157
nigeria,draw_60,Male,0.0,0.01917808,43.19319,0.9734579863808767
pakistan,draw_60,Female,0.0,0.01917808,43.19319,0.49822508528877296
pakistan,draw_60,Male,0.0,0.01917808,43.19319,0.5828274447491254
ethiopia,draw_60,Female,0.0,0.01917808,43.3033,1.0763916915186749
ethiopia,draw_60,Male,0.0,0.01917808,43.3033,0.939852411729121
nigeria,draw_60,Female,0.0,0.01917808,43.3033,0.9804947209609676
nigeria,draw_60,Male,0.0,0.01917808,43.3033,0.9750175013361406
pakistan,draw_60,Female,0.0,0.01917808,43.3033,0.49973298599258936
pakistan,draw_60,Male,0.0,0.01917808,43.3033,0.5844227937076992
ethiopia,draw_60,Female,0.0,0.01917808,43.41341,1.0779494902926474
ethiopia,draw_60,Male,0.0,0.01917808,43.41341,0.9414010818828807
nigeria,draw_60,Female,0.0,0.01917808,43.41341,0.9821279695257553
nigeria,draw_60,Male,0.0,0.01917808,43.41341,0.9765762806866072
pakistan,draw_60,Female,0.0,0.01917808,43.41341,0.5012449657122547
pakistan,draw_60,Male,0.0,0.01917808,43.41341,0.5860203630831095
ethiopia,draw_60,Female,0.0,0.01917808,43.52352,1.0795045768044225
ethiopia,draw_60,Male,0.0,0.01917808,43.52352,0.9429491961188662
nigeria,draw_60,Female,0.0,0.01917808,43.52352,0.9837600907837107
nigeria,draw_60,Male,0.0,0.01917808,43.52352,0.9781346234757219
pakistan,draw_60,Female,0.0,0.01917808,43.52352,0.5027613646731188
pakistan,draw_60,Male,0.0,0.01917808,43.52352,0.5876207185057647
ethiopia,draw_60,Female,0.0,0.01917808,43.63363,1.0810575339166497
