location,draw,sex,age_start,age_end,parameter,value
ethiopia,draw_118,Female,0.0,0.01917808,40.0,1.4823187701787692
ethiopia,draw_118,Male,0.0,0.01917808,40.0,1.3517975747334796
nigeria,draw_118,Female,0.0,0.01917808,40.0,1.3304923473228747
nigeria,draw_118,Male,0.0,0.01917808,40.0,1.373649978891426
pakistan,draw_118,Female,0.0,0.01917808,40.0,0.5791232085551574
pakistan,draw_118,Male,0.0,0.01917808,40.0,0.7777996410560525
ethiopia,draw_118,Female,0.0,0.01917808,40.11011,1.4841809314471819
ethiopia,draw_118,Male,0.0,0.01917808,40.11011,1.3537793794147845
nigeria,draw_118,Female,0.0,0.01917808,40.11011,1.3324705917418742
nigeria,draw_118,Male,0.0,0.01917808,40.11011,1.37550502269093
pakistan,draw_118,Female,0.0,0.01917808,40.11011,0.5810408560750577
pakistan,draw_118,Male,0.0,0.01917808,40.11011,0.7799842855124736
ethiopia,draw_118,Female,0.0,0.01917808,40.22022,1.486040604954057
ethiopia,draw_118,Male,0.0,0.01917808,40.22022,1.3557600907741576
nigeria,draw_118,Female,0.0,0.01917808,40.22022,1.3344472587309388
nigeria,draw_118,Male,0.0,0.01917808,40.22022,1.3773577162778374
pakistan,draw_118,Female,0.0,0.01917808,40.22022,0.5829636691498028
pakistan,draw_118,Male,0.0,0.01917808,40.22022,0.782173858318179
ethiopia,draw_118,Female,0.0,0.01917808,40.33033,1.487897511547423
ethiopia,draw_118,Male,0.0,0.01917808,40.33033,1.357740142830163
nigeria,draw_118,Female,0.0,0.01917808,40.33033,1.3364222508911638
nigeria,draw_118,Male,0.0,0.01917808,40.33033,1.3792086268431074
pakistan,draw_118,Female,0.0,0.01917808,40.33033,0.58489234443744
pakistan,draw_118,Male,0.0,0.01917808,40.33033,0.7843684864252328
ethiopia,draw_118,Female,0.0,0.01917808,40.44044,1.4897519264454309
ethiopia,draw_118,Male,0.0,0.01917808,40.44044,1.3597182008376034
nigeria,draw_118,Female,0.0,0.01917808,40.44044,1.338395847848467
nigeria,draw_118,Male,0.0,0.01917808,40.44044,1.38105817094414
pakistan,draw_118,Female,0.0,0.01917808,40.44044,0.5868266636206759
pakistan,draw_118,Male,0.0,0.01917808,40.44044,0.7865675452173532
ethiopia,draw_118,Female,0.0,0.01917808,40.55055,1.491603487347711
ethiopia,draw_118,Male,0.0,0.01917808,40.55055,1.3616946871316509
nigeria,draw_118,Female,0.0,0.01917808,40.55055,1.3403678127281933
nigeria,draw_118,Male,0.0,0.01917808,40.55055,1.3829057166052308
pakistan,draw_118,Female,0.0,0.01917808,40.55055,0.5887669333244051
pakistan,draw_118,Male,0.0,0.01917808,40.55055,0.7887709522120505
ethiopia,draw_118,Female,0.0,0.01917808,40.66066,1.493452136599846
ethiopia,draw_118,Male,0.0,0.01917808,40.66066,1.3636694747199412
nigeria,draw_118,Female,0.0,0.01917808,40.66066,1.3423370814547024
nigeria,draw_118,Male,0.0,0.01917808,40.66066,1.3847512681283656
pakistan,draw_118,Female,0.0,0.01917808,40.66066,0.590713237118287
pakistan,draw_118,Male,0.0,0.01917808,40.66066,0.7909786577379376
ethiopia,draw_118,Female,0.0,0.01917808,40.77077,1.4952972986126893
ethiopia,draw_118,Male,0.0,0.01917808,40.77077,1.3656424805023777
nigeria,draw_118,Female,0.0,0.01917808,40.77077,1.344305010924399
nigeria,draw_118,Male,0.0,0.01917808,40.77077,1.3865939951081128
pakistan,draw_118,Female,0.0,0.01917808,40.77077,0.5926654895948548
pakistan,draw_118,Male,0.0,0.01917808,40.77077,0.7931909650415552
ethiopia,draw_118,Female,0.0,0.01917808,40.88088,1.4971392716236898
ethiopia,draw_118,Male,0.0,0.01917808,40.88088,1.3676136926916753
nigeria,draw_118,Female,0.0,0.01917808,40.88088,1.3462711836733172
nigeria,draw_118,Male,0.0,0.01917808,40.88088,1.3884352749933797
pakistan,draw_118,Female,0.0,0.01917808,40.88088,0.5946234445723727
pakistan,draw_118,Male,0.0,0.01917808,40.88088,0.7954079177200544
ethiopia,draw_118,Female,0.0,0.01917808,40.99099,1.4989780054805448
ethiopia,draw_118,Male,0.0,0.01917808,40.99099,1.3695830059379637
nigeria,draw_118,Female,0.0,0.01917808,40.99099,1.3482352576780008
nigeria,draw_118,Male,0.0,0.01917808,40.99099,1.3902739640657416
pakistan,draw_118,Female,0.0,0.01917808,40.99099,0.596587572094091
pakistan,draw_118,Male,0.0,0.01917808,40.99099,0.7976293655890325
ethiopia,draw_118,Female,0.0,0.01917808,41.1011,1.5008134765261882
ethiopia,draw_118,Male,0.0,0.01917808,41.1011,1.3715506081670974
nigeria,draw_118,Female,0.0,0.01917808,41.1011,1.3501973942430288
nigeria,draw_118,Male,0.0,0.01917808,41.1011,1.392110373391769
pakistan,draw_118,Female,0.0,0.01917808,41.1011,0.598557162395751
pakistan,draw_118,Male,0.0,0.01917808,41.1011,0.7998550589871026
ethiopia,draw_118,Female,0.0,0.01917808,41.21121,1.502645864069793
ethiopia,draw_118,Male,0.0,0.01917808,41.21121,1.3735158576705206
nigeria,draw_118,Female,0.0,0.01917808,41.21121,1.3521571403400252
nigeria,draw_118,Male,0.0,0.01917808,41.21121,1.3939448645790586
pakistan,draw_118,Female,0.0,0.01917808,41.21121,0.6005323454033202
pakistan,draw_118,Male,0.0,0.01917808,41.21121,0.8020847471149773
ethiopia,draw_118,Female,0.0,0.01917808,41.32132,1.5044750627232208
ethiopia,draw_118,Male,0.0,0.01917808,41.32132,1.3754791938363797
nigeria,draw_118,Female,0.0,0.01917808,41.32132,1.3541147718394255
nigeria,draw_118,Male,0.0,0.01917808,41.32132,1.3957765406104397
pakistan,draw_118,Female,0.0,0.01917808,41.32132,0.6025131223850094
pakistan,draw_118,Male,0.0,0.01917808,41.32132,0.804319025298676
ethiopia,draw_118,Female,0.0,0.01917808,41.43143,1.5063008376580627
ethiopia,draw_118,Male,0.0,0.01917808,41.43143,1.377440956298096
nigeria,draw_118,Female,0.0,0.01917808,41.43143,1.356069957956998
nigeria,draw_118,Male,0.0,0.01917808,41.43143,1.3976060438480042
pakistan,draw_118,Female,0.0,0.01917808,41.43143,0.6044992867242454
pakistan,draw_118,Male,0.0,0.01917808,41.43143,0.8065582016215151
ethiopia,draw_118,Female,0.0,0.01917808,41.54154,1.5081235975529812
ethiopia,draw_118,Male,0.0,0.01917808,41.54154,1.3794011878550392
nigeria,draw_118,Female,0.0,0.01917808,41.54154,1.3580229950857112
nigeria,draw_118,Male,0.0,0.01917808,41.54154,1.399433320774713
pakistan,draw_118,Female,0.0,0.01917808,41.54154,0.6064908939020957
pakistan,draw_118,Male,0.0,0.01917808,41.54154,0.8088022587293473
ethiopia,draw_118,Female,0.0,0.01917808,41.65165,1.5099434031614087
ethiopia,draw_118,Male,0.0,0.01917808,41.65165,1.3813597095941361
nigeria,draw_118,Female,0.0,0.01917808,41.65165,1.3599733459238619
nigeria,draw_118,Male,0.0,0.01917808,41.65165,1.401258428753918
pakistan,draw_118,Female,0.0,0.01917808,41.65165,0.6084885430214781
pakistan,draw_118,Male,0.0,0.01917808,41.65165,0.8110509876579616
