outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_146,40.0,Female,2,ethiopia,1.9004536182106357
neonatal_sepsis,draw_146,40.0,Male,2,ethiopia,1.707999680548623
neonatal_sepsis,draw_146,40.0,Female,3,ethiopia,2.049370098680616
neonatal_sepsis,draw_146,40.0,Male,3,ethiopia,1.998486269263075
neonatal_sepsis,draw_146,40.0,Female,2,nigeria,1.7831246222958876
neonatal_sepsis,draw_146,40.0,Male,2,nigeria,1.7616115777813748
neonatal_sepsis,draw_146,40.0,Female,3,nigeria,1.9674634925180803
neonatal_sepsis,draw_146,40.0,Male,3,nigeria,2.0285007159335877
neonatal_sepsis,draw_146,40.0,Female,2,pakistan,0.8394504512633372
neonatal_sepsis,draw_146,40.0,Male,2,pakistan,0.9659072443328078
neonatal_sepsis,draw_146,40.0,Female,3,pakistan,1.149032135691723
neonatal_sepsis,draw_146,40.0,Male,3,pakistan,1.3567411631979882
neonatal_sepsis,draw_146,40.11011,Female,2,ethiopia,1.9027163591161311
neonatal_sepsis,draw_146,40.11011,Male,2,ethiopia,1.7106732976690746
neonatal_sepsis,draw_146,40.11011,Female,3,ethiopia,2.051003861337492
neonatal_sepsis,draw_146,40.11011,Male,3,ethiopia,2.0004003931545102
neonatal_sepsis,draw_146,40.11011,Female,2,nigeria,1.785519513316735
neonatal_sepsis,draw_146,40.11011,Male,2,nigeria,1.7639731948956394
neonatal_sepsis,draw_146,40.11011,Female,3,nigeria,1.9692430686282585
neonatal_sepsis,draw_146,40.11011,Male,3,nigeria,2.030107561984329
neonatal_sepsis,draw_146,40.11011,Female,2,pakistan,0.8420170971675556
neonatal_sepsis,draw_146,40.11011,Male,2,pakistan,0.9687393453602016
neonatal_sepsis,draw_146,40.11011,Female,3,pakistan,1.1514465698272882
neonatal_sepsis,draw_146,40.11011,Male,3,pakistan,1.359267716585753
neonatal_sepsis,draw_146,40.22022,Female,2,ethiopia,1.904974580626728
neonatal_sepsis,draw_146,40.22022,Male,2,ethiopia,1.713344555271092
neonatal_sepsis,draw_146,40.22022,Female,3,ethiopia,2.0526328630807678
neonatal_sepsis,draw_146,40.22022,Male,3,ethiopia,2.00231055895578
neonatal_sepsis,draw_146,40.22022,Female,2,nigeria,1.7879102273306977
neonatal_sepsis,draw_146,40.22022,Male,2,nigeria,1.7663314783781612
neonatal_sepsis,draw_146,40.22022,Female,3,nigeria,1.9710178822832285
neonatal_sepsis,draw_146,40.22022,Male,3,nigeria,2.0317100279823563
neonatal_sepsis,draw_146,40.22022,Female,2,pakistan,0.8445892314295504
neonatal_sepsis,draw_146,40.22022,Male,2,pakistan,0.9715787987743216
neonatal_sepsis,draw_146,40.22022,Female,3,pakistan,1.153863356876539
neonatal_sepsis,draw_146,40.22022,Male,3,pakistan,1.3617962930555334
neonatal_sepsis,draw_146,40.33033,Female,2,ethiopia,1.9072289649167824
neonatal_sepsis,draw_146,40.33033,Male,2,ethiopia,1.7160127515725354
neonatal_sepsis,draw_146,40.33033,Female,3,ethiopia,2.0542574313522124
neonatal_sepsis,draw_146,40.33033,Male,3,ethiopia,2.004216107688425
neonatal_sepsis,draw_146,40.33033,Female,2,nigeria,1.790298397928715
neonatal_sepsis,draw_146,40.33033,Male,2,nigeria,1.7686856070494896
neonatal_sepsis,draw_146,40.33033,Female,3,nigeria,1.9727889790596016
neonatal_sepsis,draw_146,40.33033,Male,3,nigeria,2.033307767434977
neonatal_sepsis,draw_146,40.33033,Female,2,pakistan,0.8471674242023112
neonatal_sepsis,draw_146,40.33033,Male,2,pakistan,0.9744246987188265
neonatal_sepsis,draw_146,40.33033,Female,3,pakistan,1.1562828558430855
neonatal_sepsis,draw_146,40.33033,Male,3,pakistan,1.3643267051870267
neonatal_sepsis,draw_146,40.44044,Female,2,ethiopia,1.909479234933782
neonatal_sepsis,draw_146,40.44044,Male,2,ethiopia,1.7186782773487386
neonatal_sepsis,draw_146,40.44044,Female,3,ethiopia,2.0558773510144324
neonatal_sepsis,draw_146,40.44044,Male,3,ethiopia,2.0061173729424677
neonatal_sepsis,draw_146,40.44044,Female,2,nigeria,1.7926830420104753
neonatal_sepsis,draw_146,40.44044,Male,2,nigeria,1.7710364837360928
neonatal_sepsis,draw_146,40.44044,Female,3,nigeria,1.9745557636491538
neonatal_sepsis,draw_146,40.44044,Male,3,nigeria,2.034901150859204
neonatal_sepsis,draw_146,40.44044,Female,2,pakistan,0.8497518845498961
neonatal_sepsis,draw_146,40.44044,Male,2,pakistan,0.9772769841933326
neonatal_sepsis,draw_146,40.44044,Female,3,pakistan,1.1587051227186909
neonatal_sepsis,draw_146,40.44044,Male,3,pakistan,1.366858738035343
neonatal_sepsis,draw_146,40.55055,Female,2,ethiopia,1.9117243284392422
neonatal_sepsis,draw_146,40.55055,Male,2,ethiopia,1.7213412098952354
neonatal_sepsis,draw_146,40.55055,Female,3,ethiopia,2.057492014888559
neonatal_sepsis,draw_146,40.55055,Male,3,ethiopia,2.0080144288618906
neonatal_sepsis,draw_146,40.55055,Female,2,nigeria,1.7950636969962428
neonatal_sepsis,draw_146,40.55055,Male,2,nigeria,1.77338396242467
neonatal_sepsis,draw_146,40.55055,Female,3,nigeria,1.9763178728474484
neonatal_sepsis,draw_146,40.55055,Male,3,nigeria,2.036489906285082
neonatal_sepsis,draw_146,40.55055,Female,2,pakistan,0.8523424128133191
neonatal_sepsis,draw_146,40.55055,Male,2,pakistan,0.9801353113828003
neonatal_sepsis,draw_146,40.55055,Female,3,pakistan,1.1611297256109254
neonatal_sepsis,draw_146,40.55055,Male,3,pakistan,1.3693923678436555
neonatal_sepsis,draw_146,40.66066,Female,2,ethiopia,1.9139653366927298
neonatal_sepsis,draw_146,40.66066,Male,2,ethiopia,1.7240004169527827
neonatal_sepsis,draw_146,40.66066,Female,3,ethiopia,2.0591019466437688
neonatal_sepsis,draw_146,40.66066,Male,3,ethiopia,2.009906515841428
neonatal_sepsis,draw_146,40.66066,Female,2,nigeria,1.7974402173875368
neonatal_sepsis,draw_146,40.66066,Male,2,nigeria,1.7757276691061747
neonatal_sepsis,draw_146,40.66066,Female,3,nigeria,1.9780749134148596
neonatal_sepsis,draw_146,40.66066,Male,3,nigeria,2.0380735760995456
neonatal_sepsis,draw_146,40.66066,Female,2,pakistan,0.8549387963952189
neonatal_sepsis,draw_146,40.66066,Male,2,pakistan,0.9829996972058852
neonatal_sepsis,draw_146,40.66066,Female,3,pakistan,1.16355679508636
neonatal_sepsis,draw_146,40.66066,Male,3,pakistan,1.3719273099613003
neonatal_sepsis,draw_146,40.77077,Female,2,ethiopia,1.9162012342298056
neonatal_sepsis,draw_146,40.77077,Male,2,ethiopia,1.7266572381249794
neonatal_sepsis,draw_146,40.77077,Female,3,ethiopia,2.0607063086037805
neonatal_sepsis,draw_146,40.77077,Male,3,ethiopia,2.0117941436094107
neonatal_sepsis,draw_146,40.77077,Female,2,nigeria,1.7998121849988284
neonatal_sepsis,draw_146,40.77077,Male,2,nigeria,1.7780672742833168
neonatal_sepsis,draw_146,40.77077,Female,3,nigeria,1.9798267236476523
neonatal_sepsis,draw_146,40.77077,Male,3,nigeria,2.0396518306958913
neonatal_sepsis,draw_146,40.77077,Female,2,pakistan,0.8575409161883897
neonatal_sepsis,draw_146,40.77077,Male,2,pakistan,0.9858701622036814
neonatal_sepsis,draw_146,40.77077,Female,3,pakistan,1.1659859351633703
neonatal_sepsis,draw_146,40.77077,Male,3,pakistan,1.3744631065107478
neonatal_sepsis,draw_146,40.88088,Female,2,ethiopia,1.9184318008322372
neonatal_sepsis,draw_146,40.88088,Male,2,ethiopia,1.729310295259276
