location,draw,sex,age_start,age_end,parameter,value
ethiopia,draw_71,Female,0.0,0.01917808,40.0,1.1220642897062236
ethiopia,draw_71,Male,0.0,0.01917808,40.0,0.9947408611847608
ethiopia,draw_71,Female,0.01917808,0.07671233,40.0,1.2918763987104147
ethiopia,draw_71,Male,0.01917808,0.07671233,40.0,1.225806930507709
nigeria,draw_71,Female,0.0,0.01917808,40.0,1.0339193317451258
nigeria,draw_71,Male,0.0,0.01917808,40.0,1.0231752121499036
nigeria,draw_71,Female,0.01917808,0.07671233,40.0,1.2156728914394832
nigeria,draw_71,Male,0.01917808,0.07671233,40.0,1.2385934219149777
pakistan,draw_71,Female,0.0,0.01917808,40.0,0.47482038394034365
pakistan,draw_71,Male,0.0,0.01917808,40.0,0.604165913105694
pakistan,draw_71,Female,0.01917808,0.07671233,40.0,0.7280727392528322
pakistan,draw_71,Male,0.01917808,0.07671233,40.0,0.8715079288921492
ethiopia,draw_71,Female,0.0,0.01917808,40.11011,1.1238940132361654
ethiopia,draw_71,Male,0.0,0.01917808,40.11011,0.9962448874854577
ethiopia,draw_71,Female,0.01917808,0.07671233,40.11011,1.2932523419283506
ethiopia,draw_71,Male,0.01917808,0.07671233,40.11011,1.2269683153066466
nigeria,draw_71,Female,0.0,0.01917808,40.11011,1.0353766557469628
nigeria,draw_71,Male,0.0,0.01917808,40.11011,1.0245563905568433
nigeria,draw_71,Female,0.01917808,0.07671233,40.11011,1.2167790875277595
nigeria,draw_71,Male,0.01917808,0.07671233,40.11011,1.2396264727031125
pakistan,draw_71,Female,0.0,0.01917808,40.11011,0.4763626965970342
pakistan,draw_71,Male,0.0,0.01917808,40.11011,0.6058716973836821
pakistan,draw_71,Female,0.01917808,0.07671233,40.11011,0.7296459459488787
pakistan,draw_71,Male,0.01917808,0.07671233,40.11011,0.8731075384497295
ethiopia,draw_71,Female,0.0,0.01917808,40.22022,1.1257228917082736
ethiopia,draw_71,Male,0.0,0.01917808,40.22022,0.997748439777685
ethiopia,draw_71,Female,0.01917808,0.07671233,40.22022,1.2946267580605115
ethiopia,draw_71,Male,0.01917808,0.07671233,40.22022,1.228128308499184
nigeria,draw_71,Female,0.0,0.01917808,40.22022,1.0368337090819266
nigeria,draw_71,Male,0.0,0.01917808,40.22022,1.025936761300527
nigeria,draw_71,Female,0.01917808,0.07671233,40.22022,1.2178843760215161
nigeria,draw_71,Male,0.01917808,0.07671233,40.22022,1.2406579593559959
pakistan,draw_71,Female,0.0,0.01917808,40.22022,0.4779094789657576
pakistan,draw_71,Male,0.0,0.01917808,40.22022,0.6075807510304998
pakistan,draw_71,Female,0.01917808,0.07671233,40.22022,0.7312214230595492
pakistan,draw_71,Male,0.01917808,0.07671233,40.22022,0.8747080634946324
ethiopia,draw_71,Female,0.0,0.01917808,40.33033,1.127551198209672
ethiopia,draw_71,Male,0.0,0.01917808,40.33033,0.9992518603158711
ethiopia,draw_71,Female,0.01917808,0.07671233,40.33033,1.2959996971710774
ethiopia,draw_71,Male,0.01917808,0.07671233,40.33033,1.2292870344461044
nigeria,draw_71,Female,0.0,0.01917808,40.33033,1.0382900385586833
nigeria,draw_71,Male,0.0,0.01917808,40.33033,1.0273163164339767
nigeria,draw_71,Female,0.01917808,0.07671233,40.33033,1.2189882676903105
nigeria,draw_71,Male,0.01917808,0.07671233,40.33033,1.2416879186905982
pakistan,draw_71,Female,0.0,0.01917808,40.33033,0.47946121405029646
pakistan,draw_71,Male,0.0,0.01917808,40.33033,0.6092932144592239
pakistan,draw_71,Female,0.01917808,0.07671233,40.33033,0.7327993723803495
pakistan,draw_71,Male,0.01917808,0.07671233,40.33033,0.876309642877959
ethiopia,draw_71,Female,0.0,0.01917808,40.44044,1.129379134196295
ethiopia,draw_71,Male,0.0,0.01917808,40.44044,1.000754298898519
ethiopia,draw_71,Female,0.01917808,0.07671233,40.44044,1.2973713187855256
ethiopia,draw_71,Male,0.01917808,0.07671233,40.44044,1.2304441109058353
nigeria,draw_71,Female,0.0,0.01917808,40.44044,1.0397452368140228
nigeria,draw_71,Male,0.0,0.01917808,40.44044,1.0286952315904903
nigeria,draw_71,Female,0.01917808,0.07671233,40.44044,1.2200903591296213
nigeria,draw_71,Male,0.01917808,0.07671233,40.44044,1.242716338485725
pakistan,draw_71,Female,0.0,0.01917808,40.44044,0.4810173718347865
