location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
nigeria,10_to_14,0.4433752983557116,0.416171573163864,0.13583516046416216,,,,,115,nigeria
nigeria,15_to_19,0.44203228172376224,0.4272644684653983,0.14335879403554092,,,,,115,nigeria
nigeria,20_to_24,0.4533793600304405,0.4261356632514413,0.14085516163806827,,,,,115,nigeria
nigeria,25_to_29,0.43423212344307055,0.412738053336564,0.1351525698431761,,,,,115,nigeria
nigeria,30_to_34,0.4573303122091894,0.42594270342118784,0.14001143588975554,,,,,115,nigeria
nigeria,35_to_39,0.44760597442728184,0.4235631876495636,0.14006365155798453,,,,,115,nigeria
nigeria,40_to_44,0.4468064853966501,0.4238767552875502,0.14026464390523005,,,,,115,nigeria
nigeria,45_to_49,0.4194798463799177,0.4010589602804163,0.13020849412420912,,,,,115,nigeria
nigeria,50_to_54,0.4399791991254669,0.40085490376189453,0.12766629425236306,,,,,115,nigeria
nigeria,N/A,,,,0.2382202866816211,0.23992236340935597,0.2344322430188615,0.247980616979155,115,nigeria
