location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
nigeria,10_to_14,0.4117979100981347,0.3687063173247484,0.10647633678834448,,,,,114,nigeria
nigeria,15_to_19,0.37628428730367497,0.36082858909209536,0.10687263438221342,,,,,114,nigeria
nigeria,20_to_24,0.38692259241567906,0.3584021321813615,0.10410750118259336,,,,,114,nigeria
nigeria,25_to_29,0.3693835016170119,0.34518486829020373,0.09937344653821246,,,,,114,nigeria
nigeria,30_to_34,0.39199765571986345,0.35922236534425983,0.10386327842357668,,,,,114,nigeria
nigeria,35_to_39,0.38911818399172055,0.3600904581756178,0.104619577631097,,,,,114,nigeria
nigeria,40_to_44,0.3985117089561004,0.3627572703341546,0.10497890055297197,,,,,114,nigeria
nigeria,45_to_49,0.37527303002573437,0.34091917652954057,0.09637174498781942,,,,,114,nigeria
nigeria,50_to_54,0.4154444146754558,0.3608903322216493,0.10132504350703808,,,,,114,nigeria
nigeria,N/A,,,,0.22537898484652338,0.2248110129426348,0.22362031960806275,0.22793311644187236,114,nigeria
