location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
nigeria,10_to_14,0.2880390846765967,0.3996912248691249,0.13310187560075354,,,,,109,nigeria
nigeria,15_to_19,0.30183737549300693,0.4318199061477762,0.15337160094159655,,,,,109,nigeria
nigeria,20_to_24,0.30386086309040555,0.42798630872319704,0.14973900810731605,,,,,109,nigeria
nigeria,25_to_29,0.29014053668555256,0.4157443466353886,0.1445394877312259,,,,,109,nigeria
nigeria,30_to_34,0.3074885428342801,0.43133691021965725,0.15119433216396183,,,,,109,nigeria
nigeria,35_to_39,0.29179044750348054,0.42292968616910714,0.14958991228480728,,,,,109,nigeria
nigeria,40_to_44,0.2922344690226462,0.42383354006649815,0.1504172339486884,,,,,109,nigeria
nigeria,45_to_49,0.27936303101583787,0.4082320129816143,0.1422280745670421,,,,,109,nigeria
nigeria,50_to_54,0.27020643256840776,0.37744178032917325,0.12226398313325473,,,,,109,nigeria
nigeria,N/A,,,,0.21450869017834776,0.20533743762377907,0.2094088289816028,0.21435736984418066,109,nigeria
