location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
pakistan,10_to_14,0.5121450932811545,0.6825454005990726,0.31670046541906416,,,,,35,pakistan
pakistan,15_to_19,0.49017233637830954,0.6647879512700565,0.3009297256289163,,,,,35,pakistan
pakistan,20_to_24,0.4589105645085014,0.6435896686744355,0.2863204591710795,,,,,35,pakistan
pakistan,25_to_29,0.46116489078376965,0.6445491065534948,0.28638986586634657,,,,,35,pakistan
pakistan,30_to_34,0.45952045046110984,0.6425478466506324,0.2844676462815613,,,,,35,pakistan
pakistan,35_to_39,0.4681675084087947,0.6493070633804185,0.2899814853934112,,,,,35,pakistan
pakistan,40_to_44,0.4768754082052419,0.6556299453460226,0.2945923219079132,,,,,35,pakistan
pakistan,45_to_49,0.47563077034029744,0.6558258432598358,0.29542149351523855,,,,,35,pakistan
pakistan,50_to_54,0.5123741084881567,0.6866027091913872,0.3245709472344282,,,,,35,pakistan
pakistan,N/A,,,,-0.02610786388270883,-0.013837639630334131,-0.025041046457801048,-0.0056293172477084215,35,pakistan
