location,age_group,maternal_hemorrhage_rr,maternal_sepsis_and_other_maternal_infections_rr,depressive_disorders_rr,neonatal_sepsis_early_neonatal_female,neonatal_sepsis_early_neonatal_male,neonatal_sepsis_late_neonatal_female,neonatal_sepsis_late_neonatal_male,draw,location_run
pakistan,10_to_14,0.07890992665268257,0.2193692852585355,0.01082017496522294,,,,,178,pakistan
pakistan,15_to_19,0.0684568511148422,0.19970781269147406,0.009771664992805896,,,,,178,pakistan
pakistan,20_to_24,0.06345477209188492,0.1922879635474583,0.009475488894725402,,,,,178,pakistan
pakistan,25_to_29,0.06319045017953992,0.19098307793057942,0.00937401408274506,,,,,178,pakistan
pakistan,30_to_34,0.06281071985557835,0.18958102079235709,0.009277538435068684,,,,,178,pakistan
pakistan,35_to_39,0.06445722845867556,0.1926875592896199,0.009433673165435795,,,,,178,pakistan
pakistan,40_to_44,0.0644920540679198,0.19331259214071173,0.009493421096461093,,,,,178,pakistan
pakistan,45_to_49,0.06451143027854088,0.19352888957811737,0.009504711637627639,,,,,178,pakistan
pakistan,50_to_54,0.07516332596230878,0.2171154043349918,0.010835762808728108,,,,,178,pakistan
pakistan,N/A,,,,0.2566204978945645,0.27931311355708366,0.2692390900301873,0.28527147731842406,178,pakistan
