location,age_group,maternal_hemorrhage_paf,maternal_sepsis_and_other_maternal_infections_paf,depressive_disorders_paf,draw,location_run
pakistan,10_to_14,0.08016515567720661,0.49267935791162726,0.2033945382261765,28,pakistan
pakistan,15_to_19,0.06948714376611756,0.45759415101554773,0.18655018917725694,28,pakistan
pakistan,20_to_24,0.06217474079821125,0.43111838891432247,0.17467221727209928,28,pakistan
pakistan,25_to_29,0.06112594403763456,0.426921615411576,0.17260837315786512,28,pakistan
pakistan,30_to_34,0.058678057728791345,0.4171131792099967,0.16792991571413768,28,pakistan
pakistan,35_to_39,0.06332141456786014,0.4352545338062838,0.17615647625495745,28,pakistan
pakistan,40_to_44,0.06462224752476188,0.4404850125812181,0.17946174253452704,28,pakistan
pakistan,45_to_49,0.06427204073103096,0.4398478761438029,0.1808914465613038,28,pakistan
pakistan,50_to_54,0.07800738719280914,0.48708887762785597,0.20330739636359046,28,pakistan
