location,sex,draw,exposure,value,outcome
ethiopia,Male,draw_25,40.0,-0.5937845817076466,gestational_age
ethiopia,Male,draw_25,40.11011,-0.5928764032453823,gestational_age
ethiopia,Male,draw_25,40.22022,-0.591968730332096,gestational_age
ethiopia,Male,draw_25,40.33033,-0.5910600478059457,gestational_age
ethiopia,Male,draw_25,40.44044,-0.5901514155288768,gestational_age
ethiopia,Male,draw_25,40.55055,-0.5892425746445128,gestational_age
ethiopia,Male,draw_25,40.66066,-0.5883335574202191,gestational_age
ethiopia,Male,draw_25,40.77077,-0.587427679569024,gestational_age
ethiopia,Male,draw_25,40.88088,-0.5865199303870666,gestational_age
ethiopia,Male,draw_25,40.99099,-0.5856123266450718,gestational_age
ethiopia,Male,draw_25,41.1011,-0.584700886716317,gestational_age
ethiopia,Male,draw_25,41.21121,-0.5837953611609964,gestational_age
ethiopia,Male,draw_25,41.32132,-0.5828895244441243,gestational_age
ethiopia,Male,draw_25,41.43143,-0.5819811821551666,gestational_age
ethiopia,Male,draw_25,41.54154,-0.581074211612768,gestational_age
ethiopia,Male,draw_25,41.65165,-0.5801685002214299,gestational_age
ethiopia,Male,draw_25,41.76176,-0.5792597096799573,gestational_age
ethiopia,Male,draw_25,41.87187,-0.5783545105032437,gestational_age
ethiopia,Male,draw_25,41.98198,-0.5774459729137726,gestational_age
ethiopia,Male,draw_25,42.09209,-0.5765441647938097,gestational_age
ethiopia,Male,draw_25,42.2022,-0.5756379407100349,gestational_age
ethiopia,Male,draw_25,42.31231,-0.5747287563097171,gestational_age
ethiopia,Male,draw_25,42.42242,-0.5738233066721631,gestational_age
ethiopia,Male,draw_25,42.53253,-0.5729182498585168,gestational_age
ethiopia,Male,draw_25,42.64264,-0.5720101919945727,gestational_age
ethiopia,Male,draw_25,42.75275,-0.5711057970010107,gestational_age
ethiopia,Male,draw_25,42.86286,-0.5702016637843179,gestational_age
ethiopia,Male,draw_25,42.97297,-0.5692931428690519,gestational_age
ethiopia,Male,draw_25,43.08308,-0.5683905384921886,gestational_age
ethiopia,Male,draw_25,43.19319,-0.5674880490524569,gestational_age
ethiopia,Male,draw_25,43.3033,-0.566579096827446,gestational_age
ethiopia,Male,draw_25,43.41341,-0.5656743623022467,gestational_age
ethiopia,Male,draw_25,43.52352,-0.5647714136787177,gestational_age
ethiopia,Male,draw_25,43.63363,-0.5638679713767081,gestational_age
ethiopia,Male,draw_25,43.74374,-0.5629613649950181,gestational_age
ethiopia,Male,draw_25,43.85385,-0.5620591613136778,gestational_age
ethiopia,Male,draw_25,43.96396,-0.5611564472075892,gestational_age
ethiopia,Male,draw_25,44.07407,-0.5602510008987528,gestational_age
