outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_0,41.87187,Male,2,ethiopia,0.15865351883529388
neonatal_sepsis,draw_0,41.87187,Female,3,ethiopia,0.17642920858247038
neonatal_sepsis,draw_0,41.87187,Male,3,ethiopia,0.17182346745147598
neonatal_sepsis,draw_0,41.98198,Female,2,ethiopia,0.1693645166130801
neonatal_sepsis,draw_0,41.98198,Male,2,ethiopia,0.15891131019511376
neonatal_sepsis,draw_0,41.98198,Female,3,ethiopia,0.17666664254185513
neonatal_sepsis,draw_0,41.98198,Male,3,ethiopia,0.1720636640116437
neonatal_sepsis,draw_0,42.09209,Female,2,ethiopia,0.16963069206123438
neonatal_sepsis,draw_0,42.09209,Male,2,ethiopia,0.15916978585306715
neonatal_sepsis,draw_0,42.09209,Female,3,ethiopia,0.17690462667103654
neonatal_sepsis,draw_0,42.09209,Male,3,ethiopia,0.17230453988063568
neonatal_sepsis,draw_0,42.2022,Female,2,ethiopia,0.16989748306524471
neonatal_sepsis,draw_0,42.2022,Male,2,ethiopia,0.15942892116811389
neonatal_sepsis,draw_0,42.2022,Female,3,ethiopia,0.17714325361015107
neonatal_sepsis,draw_0,42.2022,Male,3,ethiopia,0.1725460510128576
neonatal_sepsis,draw_0,42.31231,Female,2,ethiopia,0.1701647733559133
neonatal_sepsis,draw_0,42.31231,Male,2,ethiopia,0.15968866751533703
neonatal_sepsis,draw_0,42.31231,Female,3,ethiopia,0.17738248295507744
neonatal_sepsis,draw_0,42.31231,Male,3,ethiopia,0.1727882165464593
neonatal_sepsis,draw_0,42.42242,Female,2,ethiopia,0.17043268536857972
neonatal_sepsis,draw_0,42.42242,Male,2,ethiopia,0.15994914666505036
neonatal_sepsis,draw_0,42.42242,Female,3,ethiopia,0.1776223673365184
neonatal_sepsis,draw_0,42.42242,Male,3,ethiopia,0.17303113038955184
neonatal_sepsis,draw_0,42.53253,Female,2,ethiopia,0.17070136031016298
neonatal_sepsis,draw_0,42.53253,Male,2,ethiopia,0.16021029760331335
neonatal_sepsis,draw_0,42.53253,Female,3,ethiopia,0.1778630015811293
