outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_25,40.0,Female,2,ethiopia,0.6601889698533489
neonatal_sepsis,draw_25,40.0,Male,2,ethiopia,0.5956613954216339
neonatal_sepsis,draw_25,40.0,Female,3,ethiopia,0.701300044642083
neonatal_sepsis,draw_25,40.0,Male,3,ethiopia,0.688117570661782
neonatal_sepsis,draw_25,40.11011,Female,2,ethiopia,0.6612043189759024
neonatal_sepsis,draw_25,40.11011,Male,2,ethiopia,0.596647970961364
neonatal_sepsis,draw_25,40.11011,Female,3,ethiopia,0.7021213577404625
neonatal_sepsis,draw_25,40.11011,Male,3,ethiopia,0.6889356328808097
neonatal_sepsis,draw_25,40.22022,Female,2,ethiopia,0.6622199795990217
neonatal_sepsis,draw_25,40.22022,Male,2,ethiopia,0.5976348322308122
neonatal_sepsis,draw_25,40.22022,Female,3,ethiopia,0.7029428871684299
neonatal_sepsis,draw_25,40.22022,Male,3,ethiopia,0.689753773961104
neonatal_sepsis,draw_25,40.33033,Female,2,ethiopia,0.6632356039965448
neonatal_sepsis,draw_25,40.33033,Male,2,ethiopia,0.5986221533468111
neonatal_sepsis,draw_25,40.33033,Female,3,ethiopia,0.7037645486325835
neonatal_sepsis,draw_25,40.33033,Male,3,ethiopia,0.690572160595186
neonatal_sepsis,draw_25,40.44044,Female,2,ethiopia,0.6642522298177028
neonatal_sepsis,draw_25,40.44044,Male,2,ethiopia,0.5996099278378852
neonatal_sepsis,draw_25,40.44044,Female,3,ethiopia,0.704586759620356
neonatal_sepsis,draw_25,40.44044,Male,3,ethiopia,0.6913907423699442
neonatal_sepsis,draw_25,40.55055,Female,2,ethiopia,0.6652688504220485
neonatal_sepsis,draw_25,40.55055,Male,2,ethiopia,0.6005982888030961
neonatal_sepsis,draw_25,40.55055,Female,3,ethiopia,0.7054091285277219
neonatal_sepsis,draw_25,40.55055,Male,3,ethiopia,0.6922095056821821
neonatal_sepsis,draw_25,40.66066,Female,2,ethiopia,0.6662856586425905
neonatal_sepsis,draw_25,40.66066,Male,2,ethiopia,0.6015872517620654
neonatal_sepsis,draw_25,40.66066,Female,3,ethiopia,0.706231680836145
neonatal_sepsis,draw_25,40.66066,Male,3,ethiopia,0.6930284327210738
neonatal_sepsis,draw_25,40.77077,Female,2,ethiopia,0.6673031400394132
neonatal_sepsis,draw_25,40.77077,Male,2,ethiopia,0.6025767222400894
neonatal_sepsis,draw_25,40.77077,Female,3,ethiopia,0.7070545121010485
neonatal_sepsis,draw_25,40.77077,Male,3,ethiopia,0.6938474731936869
