sex_of_child,value,age_group_id,exposure,location,draw
Male,2.5318441306260886,2,42.53253,ethiopia,draw_109
Female,1.9452605901846556,3,42.53253,ethiopia,draw_109
Male,2.0769280206985337,3,42.53253,ethiopia,draw_109
Female,2.0741922471316423,2,42.64264,ethiopia,draw_109
Male,2.5269249533686735,2,42.64264,ethiopia,draw_109
Female,1.9423665639450323,3,42.64264,ethiopia,draw_109
Male,2.073956180730934,3,42.64264,ethiopia,draw_109
Female,2.0701370502055267,2,42.75275,ethiopia,draw_109
Male,2.5220176905906273,2,42.75275,ethiopia,draw_109
Female,1.939479478426913,3,42.75275,ethiopia,draw_109
Male,2.070989989478861,3,42.75275,ethiopia,draw_109
Female,2.066096004590114,2,42.86286,ethiopia,draw_109
Male,2.5171232373379073,2,42.86286,ethiopia,draw_109
Female,1.936599143242207,3,42.86286,ethiopia,draw_109
Male,2.0680299694397783,3,42.86286,ethiopia,draw_109
Female,2.062067488060452,2,42.97297,ethiopia,draw_109
Male,2.512241316445982,2,42.97297,ethiopia,draw_109
Female,1.9337247348906648,3,42.97297,ethiopia,draw_109
Male,2.0650758118152353,3,42.97297,ethiopia,draw_109
Female,2.058050983849874,2,43.08308,ethiopia,draw_109
Male,2.507371974165759,2,43.08308,ethiopia,draw_109
Female,1.9308562300642644,3,43.08308,ethiopia,draw_109
Male,2.062127823499663,3,43.08308,ethiopia,draw_109
Female,2.05404785764542,2,43.19319,ethiopia,draw_109
Male,2.5025150337648143,2,43.19319,ethiopia,draw_109
Female,1.9279946702067046,3,43.19319,ethiopia,draw_109
Male,2.059185840419717,3,43.19319,ethiopia,draw_109
Female,2.0500572227928875,2,43.3033,ethiopia,draw_109
Male,2.497670002572931,2,43.3033,ethiopia,draw_109
Female,1.925139450070967,3,43.3033,ethiopia,draw_109
Male,2.0562496354814512,3,43.3033,ethiopia,draw_109
Female,2.0460793251064144,2,43.41341,ethiopia,draw_109
Male,2.492837516604058,2,43.41341,ethiopia,draw_109
Female,1.922290543520855,3,43.41341,ethiopia,draw_109
Male,2.0533195037620846,3,43.41341,ethiopia,draw_109
Female,2.042115262651763,2,43.52352,ethiopia,draw_109
Male,2.4880178705503373,2,43.52352,ethiopia,draw_109
Female,1.9194484377165313,3,43.52352,ethiopia,draw_109
Male,2.050395635991897,3,43.52352,ethiopia,draw_109
Female,2.0381637984337457,2,43.63363,ethiopia,draw_109
Male,2.4832117799348796,2,43.63363,ethiopia,draw_109
Female,1.9166124197398438,3,43.63363,ethiopia,draw_109
Male,2.0474785201266834,3,43.63363,ethiopia,draw_109
Female,2.03422449552289,2,43.74374,ethiopia,draw_109
Male,2.4784187216134,2,43.74374,ethiopia,draw_109
Female,1.9137822044718185,3,43.74374,ethiopia,draw_109
Male,2.0445676808976487,3,43.74374,ethiopia,draw_109
Female,2.0302986386797697,2,43.85385,ethiopia,draw_109
Male,2.473637963533517,2,43.85385,ethiopia,draw_109
Female,1.9109584723668713,3,43.85385,ethiopia,draw_109
Male,2.0416628438614013,3,43.85385,ethiopia,draw_109
Female,2.0263863057224007,2,43.96396,ethiopia,draw_109
Male,2.4688703267605305,2,43.96396,ethiopia,draw_109
Female,1.9081415478490296,3,43.96396,ethiopia,draw_109
Male,2.038764614959382,3,43.96396,ethiopia,draw_109
Female,2.022485715177078,2,44.07407,ethiopia,draw_109
Male,2.4641155037712976,2,44.07407,ethiopia,draw_109
