sex_of_child,value,age_group_id,exposure,location,draw
Female,2.2370289707220006,2,40.0,ethiopia,draw_167
Male,2.621643492483183,2,40.0,ethiopia,draw_167
Female,2.100658864935469,3,40.0,ethiopia,draw_167
Male,2.230134143575566,3,40.0,ethiopia,draw_167
Female,2.2330992243045555,2,40.11011,ethiopia,draw_167
Male,2.616073389350036,2,40.11011,ethiopia,draw_167
Female,2.0978463694279235,3,40.11011,ethiopia,draw_167
Male,2.2266701564333533,3,40.11011,ethiopia,draw_167
Female,2.229178781634997,2,40.22022,ethiopia,draw_167
Male,2.610520372954515,2,40.22022,ethiopia,draw_167
Female,2.095038838885786,3,40.22022,ethiopia,draw_167
Male,2.2232140851093116,3,40.22022,ethiopia,draw_167
Female,2.225270535797214,2,40.33033,ethiopia,draw_167
Male,2.604984812785235,2,40.33033,ethiopia,draw_167
Female,2.092237611196398,3,40.33033,ethiopia,draw_167
Male,2.219765941735165,3,40.33033,ethiopia,draw_167
Female,2.221371540884585,2,40.44044,ethiopia,draw_167
Male,2.5994628775865025,2,40.44044,ethiopia,draw_167
Female,2.0894412600366943,3,40.44044,ethiopia,draw_167
Male,2.216324117455647,3,40.44044,ethiopia,draw_167
Female,2.217485108064334,2,40.55055,ethiopia,draw_167
Male,2.593957789108022,2,40.55055,ethiopia,draw_167
Female,2.0866513839304264,3,40.55055,ethiopia,draw_167
Male,2.2128899960497357,3,40.55055,ethiopia,draw_167
Female,2.2136086744400076,2,40.66066,ethiopia,draw_167
Male,2.5884690239338473,2,40.66066,ethiopia,draw_167
Female,2.0838667703610794,3,40.66066,ethiopia,draw_167
Male,2.2094630031689833,3,40.66066,ethiopia,draw_167
Female,2.2097425270654303,2,40.77077,ethiopia,draw_167
Male,2.5829954672051105,2,40.77077,ethiopia,draw_167
Female,2.081087538708583,3,40.77077,ethiopia,draw_167
Male,2.2060429370928674,3,40.77077,ethiopia,draw_167
Female,2.205887955697504,2,40.88088,ethiopia,draw_167
Male,2.5775405920522427,2,40.88088,ethiopia,draw_167
Female,2.0783141687448787,3,40.88088,ethiopia,draw_167
Male,2.202631276312775,3,40.88088,ethiopia,draw_167
Female,2.2020430459276477,2,40.99099,ethiopia,draw_167
Male,2.5721012376736314,2,40.99099,ethiopia,draw_167
Female,2.075545754454776,3,40.99099,ethiopia,draw_167
Male,2.1992269801741804,3,40.99099,ethiopia,draw_167
Female,2.198209111611197,2,41.1011,ethiopia,draw_167
Male,2.566676952514499,2,41.1011,ethiopia,draw_167
Female,2.0727830149440543,3,41.1011,ethiopia,draw_167
Male,2.1958300494210317,3,41.1011,ethiopia,draw_167
Female,2.1943852565674504,2,41.21121,ethiopia,draw_167
Male,2.5612697571623912,2,41.21121,ethiopia,draw_167
Female,2.0700257107151083,3,41.21121,ethiopia,draw_167
Male,2.192441166587321,3,41.21121,ethiopia,draw_167
Female,2.190572012247701,2,41.32132,ethiopia,draw_167
Male,2.5558783112700696,2,41.32132,ethiopia,draw_167
Female,2.0672742176898655,3,41.32132,ethiopia,draw_167
Male,2.1890592382173337,3,41.32132,ethiopia,draw_167
Female,2.1867681547806477,2,41.43143,ethiopia,draw_167
Male,2.5505041680150415,2,41.43143,ethiopia,draw_167
Female,2.064527616981923,3,41.43143,ethiopia,draw_167
Male,2.185685348512744,3,41.43143,ethiopia,draw_167
Female,2.1829758888657524,2,41.54154,ethiopia,draw_167
Male,2.545146528882465,2,41.54154,ethiopia,draw_167
Female,2.061787038820908,3,41.54154,ethiopia,draw_167
Male,2.182318872341725,3,41.54154,ethiopia,draw_167
Female,2.1791937845702347,2,41.65165,ethiopia,draw_167
Male,2.539803647375919,2,41.65165,ethiopia,draw_167
Female,2.0590517539353628,3,41.65165,ethiopia,draw_167
Male,2.178959269634553,3,41.65165,ethiopia,draw_167
Female,2.1754226939809698,2,41.76176,ethiopia,draw_167
Male,2.5344764669688074,2,41.76176,ethiopia,draw_167
Female,2.0563221234099,3,41.76176,ethiopia,draw_167
Male,2.17560666398192,3,41.76176,ethiopia,draw_167
Female,2.1716628584972044,2,41.87187,ethiopia,draw_167
Male,2.5291646941526977,2,41.87187,ethiopia,draw_167
Female,2.053598275668886,3,41.87187,ethiopia,draw_167
Male,2.1722615402003553,3,41.87187,ethiopia,draw_167
Female,2.167914361911395,2,41.98198,ethiopia,draw_167
Male,2.5238676288928783,2,41.98198,ethiopia,draw_167
Female,2.050880247687318,3,41.98198,ethiopia,draw_167
Male,2.1689232070037634,3,41.98198,ethiopia,draw_167
Female,2.1641763836628876,2,42.09209,ethiopia,draw_167
Male,2.518587554217632,2,42.09209,ethiopia,draw_167
Female,2.0481677229016295,3,42.09209,ethiopia,draw_167
Male,2.1655925260384135,3,42.09209,ethiopia,draw_167
Female,2.1604479021214558,2,42.2022,ethiopia,draw_167
Male,2.513322163472424,2,42.2022,ethiopia,draw_167
Female,2.0454601676440247,3,42.2022,ethiopia,draw_167
Male,2.1622688262738685,3,42.2022,ethiopia,draw_167
Female,2.1567306754007505,2,42.31231,ethiopia,draw_167
Male,2.5080727644404357,2,42.31231,ethiopia,draw_167
Female,2.0427582627131176,3,42.31231,ethiopia,draw_167
Male,2.1589525652487382,3,42.31231,ethiopia,draw_167
Female,2.1530227110104603,2,42.42242,ethiopia,draw_167
Male,2.5028406122880527,2,42.42242,ethiopia,draw_167
Female,2.0400613571215653,3,42.42242,ethiopia,draw_167
Male,2.155644367198794,3,42.42242,ethiopia,draw_167
Female,2.149323893696575,2,42.53253,ethiopia,draw_167
Male,2.4976228693877043,2,42.53253,ethiopia,draw_167
Female,2.037369446523129,3,42.53253,ethiopia,draw_167
Male,2.152343028694838,3,42.53253,ethiopia,draw_167
Female,2.1456359480529907,2,42.64264,ethiopia,draw_167
Male,2.492421344143778,2,42.64264,ethiopia,draw_167
Female,2.0346834043529123,3,42.64264,ethiopia,draw_167
Male,2.149049195536432,3,42.64264,ethiopia,draw_167
Female,2.1419578296111905,2,42.75275,ethiopia,draw_167
Male,2.487235314612962,2,42.75275,ethiopia,draw_167
Female,2.032002530940142,3,42.75275,ethiopia,draw_167
Male,2.1457623335430336,3,42.75275,ethiopia,draw_167
Female,2.1382902369609114,2,42.86286,ethiopia,draw_167
Male,2.482063961013864,2,42.86286,ethiopia,draw_167
Female,2.029326978118362,3,42.86286,ethiopia,draw_167
Male,2.1424822643093933,3,42.86286,ethiopia,draw_167
Female,2.134632503250697,2,42.97297,ethiopia,draw_167
Male,2.4769085624028584,2,42.97297,ethiopia,draw_167
Female,2.026656526970807,3,42.97297,ethiopia,draw_167
Male,2.139209745523987,3,42.97297,ethiopia,draw_167
Female,2.1309852172697985,2,43.08308,ethiopia,draw_167
