sex_of_child,value,age_group_id,exposure,location,draw
Female,2.264108167837049,2,40.0,ethiopia,draw_114
Male,2.53511175392802,2,40.0,ethiopia,draw_114
Female,2.0048962609357637,3,40.0,ethiopia,draw_114
Male,2.0856129962890257,3,40.0,ethiopia,draw_114
Female,2.260372759836974,2,40.11011,ethiopia,draw_114
Male,2.529947633406616,2,40.11011,ethiopia,draw_114
Female,2.002498159286109,3,40.11011,ethiopia,draw_114
Male,2.0826269351594244,3,40.11011,ethiopia,draw_114
Female,2.256648286910039,2,40.22022,ethiopia,draw_114
Male,2.5247989432690354,2,40.22022,ethiopia,draw_114
Female,2.0001052663669787,3,40.22022,ethiopia,draw_114
Male,2.079647248914321,3,40.22022,ethiopia,draw_114
Female,2.252932437833322,2,40.33033,ethiopia,draw_114
Male,2.519664905052968,2,40.33033,ethiopia,draw_114
Female,1.9977162405523214,3,40.33033,ethiopia,draw_114
Male,2.0766735912029453,3,40.33033,ethiopia,draw_114
Female,2.2492255778311234,2,40.44044,ethiopia,draw_114
Male,2.5145447532866245,2,40.44044,ethiopia,draw_114
Female,1.995331320965887,3,40.44044,ethiopia,draw_114
Male,2.0737058674722912,3,40.44044,ethiopia,draw_114
Female,2.245528031905149,2,40.55055,ethiopia,draw_114
Male,2.5094394285164214,2,40.55055,ethiopia,draw_114
Female,1.9929505687295122,3,40.55055,ethiopia,draw_114
Male,2.070744364708129,3,40.55055,ethiopia,draw_114
Female,2.241841040962297,2,40.66066,ethiopia,draw_114
Male,2.5043492801100924,2,40.66066,ethiopia,draw_114
Female,1.9905747632482398,3,40.66066,ethiopia,draw_114
Male,2.067789089273445,3,40.66066,ethiopia,draw_114
Female,2.2381620319564575,2,40.77077,ethiopia,draw_114
Male,2.4992743094676406,2,40.77077,ethiopia,draw_114
Female,1.9882025067705964,3,40.77077,ethiopia,draw_114
Male,2.064840476769181,3,40.77077,ethiopia,draw_114
Female,2.2344931724969745,2,40.88088,ethiopia,draw_114
Male,2.494214654770154,2,40.88088,ethiopia,draw_114
Female,1.9858348828536228,3,40.88088,ethiopia,draw_114
Male,2.0618982157211074,3,40.88088,ethiopia,draw_114
Female,2.230833213668535,2,40.99099,ethiopia,draw_114
Male,2.4891699476428735,2,40.99099,ethiopia,draw_114
Female,1.9834713342137045,3,40.99099,ethiopia,draw_114
Male,2.0589622268739163,3,40.99099,ethiopia,draw_114
Female,2.2271834556132597,2,41.1011,ethiopia,draw_114
Male,2.4841397369778755,2,41.1011,ethiopia,draw_114
Female,1.9811124841330123,3,41.1011,ethiopia,draw_114
Male,2.056032459799551,3,41.1011,ethiopia,draw_114
Female,2.223542876403457,2,41.21121,ethiopia,draw_114
Male,2.4791250497769832,2,41.21121,ethiopia,draw_114
Female,1.9787578473907796,3,41.21121,ethiopia,draw_114
Male,2.053109172458844,3,41.21121,ethiopia,draw_114
Female,2.21991246741308,2,41.32132,ethiopia,draw_114
Male,2.4741255148664214,2,41.32132,ethiopia,draw_114
Female,1.9764079581880247,3,41.32132,ethiopia,draw_114
Male,2.050192210684968,3,41.32132,ethiopia,draw_114
Female,2.2157131150754052,2,41.43143,ethiopia,draw_114
Male,2.4691406480278215,2,41.43143,ethiopia,draw_114
Female,1.9736847144907497,3,41.43143,ethiopia,draw_114
Male,2.0472813292428746,3,41.43143,ethiopia,draw_114
Female,2.2110515740226115,2,41.54154,ethiopia,draw_114
Male,2.4641703574910676,2,41.54154,ethiopia,draw_114
Female,1.9706569131403724,3,41.54154,ethiopia,draw_114
Male,2.0443766700714643,3,41.54154,ethiopia,draw_114
Female,2.206406359784294,2,41.65165,ethiopia,draw_114
Male,2.4592143231424783,2,41.65165,ethiopia,draw_114
Female,1.9676368704346725,3,41.65165,ethiopia,draw_114
Male,2.041478042863413,3,41.65165,ethiopia,draw_114
Female,2.201776895395386,2,41.76176,ethiopia,draw_114
Male,2.454272696077971,2,41.76176,ethiopia,draw_114
Female,1.9646240614799813,3,41.76176,ethiopia,draw_114
Male,2.038585310361488,3,41.76176,ethiopia,draw_114
Female,2.1971632378377386,2,41.87187,ethiopia,draw_114
Male,2.4493455676041953,2,41.87187,ethiopia,draw_114
