sex_of_child,value,age_group_id,exposure,location,draw
Female,2.2534262798033327,2,40.0,ethiopia,draw_94
Male,2.5331411514453333,2,40.0,ethiopia,draw_94
Female,2.0316159654138204,3,40.0,ethiopia,draw_94
Male,2.072414531073801,3,40.0,ethiopia,draw_94
Female,2.2496371616874393,2,40.11011,ethiopia,draw_94
Male,2.5281975088448925,2,40.11011,ethiopia,draw_94
Female,2.029125271889281,3,40.11011,ethiopia,draw_94
Male,2.0695720466150838,3,40.11011,ethiopia,draw_94
Female,2.2458581869524727,2,40.22022,ethiopia,draw_94
Male,2.5232663531516257,2,40.22022,ethiopia,draw_94
Female,2.0266390821289844,3,40.22022,ethiopia,draw_94
Male,2.066735059606303,3,40.22022,ethiopia,draw_94
Female,2.2420893282553687,2,40.33033,ethiopia,draw_94
Male,2.5183483227433827,2,40.33033,ethiopia,draw_94
Female,2.0241572886371784,3,40.33033,ethiopia,draw_94
Male,2.063903657717715,3,40.33033,ethiopia,draw_94
Female,2.238330387943506,2,40.44044,ethiopia,draw_94
Male,2.5134434473685876,2,40.44044,ethiopia,draw_94
Female,2.021680145948993,3,40.44044,ethiopia,draw_94
Male,2.06107787669802,3,40.44044,ethiopia,draw_94
Female,2.234581601513835,2,40.55055,ethiopia,draw_94
Male,2.5085497441535916,2,40.55055,ethiopia,draw_94
Female,2.019207556500264,3,40.55055,ethiopia,draw_94
Male,2.0582570117300407,3,40.55055,ethiopia,draw_94
Female,2.2308426095530174,2,40.66066,ethiopia,draw_94
Male,2.503668619119463,2,40.66066,ethiopia,draw_94
Female,2.0167395564674764,3,40.66066,ethiopia,draw_94
Male,2.055441574157364,3,40.66066,ethiopia,draw_94
Female,2.227113558008782,2,40.77077,ethiopia,draw_94
Male,2.4987992402417274,2,40.77077,ethiopia,draw_94
Female,2.0142761574969854,3,40.77077,ethiopia,draw_94
Male,2.052631257943323,3,40.77077,ethiopia,draw_94
Female,2.2233942489910143,2,40.88088,ethiopia,draw_94
Male,2.4939432657817213,2,40.88088,ethiopia,draw_94
Female,2.0118173540278343,3,40.88088,ethiopia,draw_94
Male,2.0498266236093095,3,40.88088,ethiopia,draw_94
Female,2.2196850742720464,2,40.99099,ethiopia,draw_94
Male,2.4890997019401118,2,40.99099,ethiopia,draw_94
Female,2.0093632467682476,3,40.99099,ethiopia,draw_94
Male,2.0470273543397153,3,40.99099,ethiopia,draw_94
Female,2.2159863795454693,2,41.1011,ethiopia,draw_94
Male,2.484267278660198,2,41.1011,ethiopia,draw_94
Female,2.006913912159627,3,41.1011,ethiopia,draw_94
Male,2.044232852708314,3,41.1011,ethiopia,draw_94
Female,2.212297062880047,2,41.21121,ethiopia,draw_94
Male,2.4794483751928467,2,41.21121,ethiopia,draw_94
Female,2.004468946382966,3,41.21121,ethiopia,draw_94
Male,2.041444182246188,3,41.21121,ethiopia,draw_94
Female,2.2085979388213772,2,41.32132,ethiopia,draw_94
Male,2.474641438449702,2,41.32132,ethiopia,draw_94
Female,2.002015268069513,3,41.32132,ethiopia,draw_94
Male,2.0386606128005758,3,41.32132,ethiopia,draw_94
Female,2.2039189744850263,2,41.43143,ethiopia,draw_94
Male,2.469847736304665,2,41.43143,ethiopia,draw_94
Female,1.998895185756149,3,41.43143,ethiopia,draw_94
Male,2.035882646121162,3,41.43143,ethiopia,draw_94
Female,2.1992546773225667,2,41.54154,ethiopia,draw_94
Male,2.4650659917708615,2,41.54154,ethiopia,draw_94
Female,1.9957818326779013,3,41.54154,ethiopia,draw_94
Male,2.033110087653992,3,41.54154,ethiopia,draw_94
Female,2.1946064738285513,2,41.65165,ethiopia,draw_94
Male,2.460296969013596,2,41.65165,ethiopia,draw_94
Female,1.9926757978027971,3,41.65165,ethiopia,draw_94
Male,2.0303430684087513,3,41.65165,ethiopia,draw_94
Female,2.1899727183102016,2,41.76176,ethiopia,draw_94
Male,2.455539998496401,2,41.76176,ethiopia,draw_94
Female,1.989576382868649,3,41.76176,ethiopia,draw_94
Male,2.0275812296071813,3,41.76176,ethiopia,draw_94
Female,2.1853551476972664,2,41.87187,ethiopia,draw_94
Male,2.4507942410746835,2,41.87187,ethiopia,draw_94
Female,1.9864846022324618,3,41.87187,ethiopia,draw_94
Male,2.024824388718472,3,41.87187,ethiopia,draw_94
Female,2.180752539479736,2,41.98198,ethiopia,draw_94
Male,2.4460612574737723,2,41.98198,ethiopia,draw_94
Female,1.9833998172440297,3,41.98198,ethiopia,draw_94
Male,2.0220732273524793,3,41.98198,ethiopia,draw_94
Female,2.1761652828161298,2,42.09209,ethiopia,draw_94
Male,2.4413403010891597,2,42.09209,ethiopia,draw_94
Female,1.9803221318856263,3,42.09209,ethiopia,draw_94
Male,2.0193272868955474,3,42.09209,ethiopia,draw_94
Female,2.171594222683764,2,42.2022,ethiopia,draw_94
Male,2.4366320039139198,2,42.2022,ethiopia,draw_94
