sex_of_child,value,age_group_id,exposure,location,draw
Female,2.1995920867140755,2,40.0,ethiopia,draw_115
Male,2.4900467971463023,2,40.0,ethiopia,draw_115
Female,2.0455793879352107,3,40.0,ethiopia,draw_115
Male,2.0816179159100368,3,40.0,ethiopia,draw_115
Female,2.196052336803246,2,40.11011,ethiopia,draw_115
Male,2.4850504421214086,2,40.11011,ethiopia,draw_115
Female,2.04305372366592,3,40.11011,ethiopia,draw_115
Male,2.0786178204314734,3,40.11011,ethiopia,draw_115
Female,2.192520687048324,2,40.22022,ethiopia,draw_115
Male,2.4800678679143164,2,40.22022,ethiopia,draw_115
Female,2.0405320946478716,3,40.22022,ethiopia,draw_115
Male,2.075623866701922,3,40.22022,ethiopia,draw_115
Female,2.1889981510622785,2,40.33033,ethiopia,draw_115
Male,2.475099034059982,2,40.33033,ethiopia,draw_115
Female,2.0380151390795587,3,40.33033,ethiopia,draw_115
Male,2.072636586047329,3,40.33033,ethiopia,draw_115
Female,2.18548529638919,2,40.44044,ethiopia,draw_115
Male,2.470144408759997,2,40.44044,ethiopia,draw_115
Female,2.035503135606796,3,40.44044,ethiopia,draw_115
Male,2.0696559468411886,3,40.44044,ethiopia,draw_115
Female,2.1819811211896694,2,40.55055,ethiopia,draw_115
Male,2.4652029199346726,2,40.55055,ethiopia,draw_115
Female,2.03299525308438,3,40.55055,ethiopia,draw_115
Male,2.0666814112022025,3,40.55055,ethiopia,draw_115
Female,2.178486441294913,2,40.66066,ethiopia,draw_115
Male,2.460276954185606,2,40.66066,ethiopia,draw_115
Female,2.03049233882951,3,40.66066,ethiopia,draw_115
Male,2.0637134697213626,3,40.66066,ethiopia,draw_115
Female,2.175000910602312,2,40.77077,ethiopia,draw_115
Male,2.455363153924083,2,40.77077,ethiopia,draw_115
Female,2.027994038250483,3,40.77077,ethiopia,draw_115
Male,2.0607512018394987,3,40.77077,ethiopia,draw_115
Female,2.1715250783294278,2,40.88088,ethiopia,draw_115
Male,2.450463267205471,2,40.88088,ethiopia,draw_115
Female,2.0255004667950476,3,40.88088,ethiopia,draw_115
Male,2.0577951171764273,3,40.88088,ethiopia,draw_115
Female,2.1680592279457027,2,40.99099,ethiopia,draw_115
Male,2.4455770941140247,2,40.99099,ethiopia,draw_115
Female,2.023011845545631,3,40.99099,ethiopia,draw_115
Male,2.0548452616767285,3,40.99099,ethiopia,draw_115
Female,2.164602177764263,2,41.1011,ethiopia,draw_115
Male,2.4407052220633,2,41.1011,ethiopia,draw_115
Female,2.0205275687472826,3,41.1011,ethiopia,draw_115
Male,2.051901925810291,3,41.1011,ethiopia,draw_115
Female,2.1611543721584803,2,41.21121,ethiopia,draw_115
Male,2.4358476537574396,2,41.21121,ethiopia,draw_115
Female,2.0180481406737183,3,41.21121,ethiopia,draw_115
Male,2.0489649838517825,3,41.21121,ethiopia,draw_115
Female,2.157715180683432,2,41.32132,ethiopia,draw_115
Male,2.431003833942138,2,41.32132,ethiopia,draw_115
Female,2.0155727203492817,3,41.32132,ethiopia,draw_115
Male,2.046034161929405,3,41.32132,ethiopia,draw_115
Female,2.1542856956560694,2,41.43143,ethiopia,draw_115
Male,2.4261740647606245,2,41.43143,ethiopia,draw_115
Female,2.013102144102749,3,41.43143,ethiopia,draw_115
Male,2.043109710286968,3,41.43143,ethiopia,draw_115
Female,2.150865462269297,2,41.54154,ethiopia,draw_115
Male,2.421358126007172,2,41.54154,ethiopia,draw_115
Female,2.010636253644235,3,41.54154,ethiopia,draw_115
Male,2.0401915314509864,3,41.54154,ethiopia,draw_115
Female,2.1474543912831994,2,41.65165,ethiopia,draw_115
Male,2.416555552201933,2,41.65165,ethiopia,draw_115
Female,2.0081746142769505,3,41.65165,ethiopia,draw_115
Male,2.0372793731254175,3,41.65165,ethiopia,draw_115
Female,2.14405234909098,2,41.76176,ethiopia,draw_115
Male,2.41176639508364,2,41.76176,ethiopia,draw_115
Female,2.005717330441518,3,41.76176,ethiopia,draw_115
Male,2.034373088778292,3,41.76176,ethiopia,draw_115
Female,2.1406594406099404,2,41.87187,ethiopia,draw_115
Male,2.4069904017714285,2,41.87187,ethiopia,draw_115
Female,2.0032646805463967,3,41.87187,ethiopia,draw_115
Male,2.0314727542884996,3,41.87187,ethiopia,draw_115
Female,2.1372750160360945,2,41.98198,ethiopia,draw_115
Male,2.402230082661265,2,41.98198,ethiopia,draw_115
Female,2.0008162567960412,3,41.98198,ethiopia,draw_115
Male,2.028578958139039,3,41.98198,ethiopia,draw_115
Female,2.133899617519396,2,42.09209,ethiopia,draw_115
Male,2.3974817771213033,2,42.09209,ethiopia,draw_115
Female,1.9983726068899053,3,42.09209,ethiopia,draw_115
Male,2.0256908750611125,3,42.09209,ethiopia,draw_115
Female,2.1305325148188095,2,42.2022,ethiopia,draw_115
Male,2.3927472426116005,2,42.2022,ethiopia,draw_115
Female,1.9959330708460319,3,42.2022,ethiopia,draw_115
Male,2.02280893985509,3,42.2022,ethiopia,draw_115
Female,2.1269039108123593,2,42.31231,ethiopia,draw_115
Male,2.3880262262104455,2,42.31231,ethiopia,draw_115
Female,1.99330134029777,3,42.31231,ethiopia,draw_115
Male,2.0199329036829003,3,42.31231,ethiopia,draw_115
Female,2.122599312352195,2,42.42242,ethiopia,draw_115
Male,2.3833190146420398,2,42.42242,ethiopia,draw_115
Female,1.9901755973981143,3,42.42242,ethiopia,draw_115
Male,2.017063063867058,3,42.42242,ethiopia,draw_115
Female,2.1183079193334997,2,42.53253,ethiopia,draw_115
Male,2.3786255146068283,2,42.53253,ethiopia,draw_115
Female,1.987056884779203,3,42.53253,ethiopia,draw_115
Male,2.0141995973879157,3,42.53253,ethiopia,draw_115
Female,2.114030582421882,2,42.64264,ethiopia,draw_115
Male,2.373944290949319,2,42.64264,ethiopia,draw_115
Female,1.9839453115384789,3,42.64264,ethiopia,draw_115
Male,2.0113418574161415,3,42.64264,ethiopia,draw_115
Female,2.1097680986571494,2,42.75275,ethiopia,draw_115
Male,2.369276806004734,2,42.75275,ethiopia,draw_115
Female,1.9808412045596204,3,42.75275,ethiopia,draw_115
Male,2.0084903501617273,3,42.75275,ethiopia,draw_115
Female,2.10552107369828,2,42.86286,ethiopia,draw_115
Male,2.3646229887094914,2,42.86286,ethiopia,draw_115
Female,1.977745060209117,3,42.86286,ethiopia,draw_115
Male,2.0056450559571326,3,42.86286,ethiopia,draw_115
Female,2.101287766006941,2,42.97297,ethiopia,draw_115
Male,2.3599813272582724,2,42.97297,ethiopia,draw_115
Female,1.974655648862091,3,42.97297,ethiopia,draw_115
Male,2.002805478532541,3,42.97297,ethiopia,draw_115
Female,2.0970693343574993,2,43.08308,ethiopia,draw_115
Male,2.355352725523257,2,43.08308,ethiopia,draw_115
Female,1.9715733766916097,3,43.08308,ethiopia,draw_115
Male,1.9999719087620478,3,43.08308,ethiopia,draw_115
Female,2.0928660154407552,2,43.19319,ethiopia,draw_115
Male,2.3507366351266517,2,43.19319,ethiopia,draw_115
Female,1.968499129943562,3,43.19319,ethiopia,draw_115
Male,1.9971441969306778,3,43.19319,ethiopia,draw_115
Female,2.0886761138471863,2,43.3033,ethiopia,draw_115
Male,2.3461335062942794,2,43.3033,ethiopia,draw_115
Female,1.9654318150104424,3,43.3033,ethiopia,draw_115
Male,1.9943224757520113,3,43.3033,ethiopia,draw_115
Female,2.0845007168926273,2,43.41341,ethiopia,draw_115
Male,2.341543112574214,2,43.41341,ethiopia,draw_115
Female,1.9623721067868833,3,43.41341,ethiopia,draw_115
Male,1.9915066144956224,3,43.41341,ethiopia,draw_115
Female,2.080338914948654,2,43.52352,ethiopia,draw_115
Male,2.3369648124100215,2,43.52352,ethiopia,draw_115
Female,1.9593190872092774,3,43.52352,ethiopia,draw_115
Male,1.9886965296536288,3,43.52352,ethiopia,draw_115
Female,2.076191232457121,2,43.63363,ethiopia,draw_115
Male,2.332400730339982,2,43.63363,ethiopia,draw_115
Female,1.9562731964577016,3,43.63363,ethiopia,draw_115
Male,1.9858927370140862,3,43.63363,ethiopia,draw_115
Female,2.072057596620261,2,43.74374,ethiopia,draw_115
Male,2.3278489963813502,2,43.74374,ethiopia,draw_115
Female,1.9532346096669742,3,43.74374,ethiopia,draw_115
Male,1.9830944671082906,3,43.74374,ethiopia,draw_115
Female,2.0679384931917997,2,43.85385,ethiopia,draw_115
Male,2.3233096668163573,2,43.85385,ethiopia,draw_115
Female,1.9502033763508975,3,43.85385,ethiopia,draw_115
Male,1.9803017659367055,3,43.85385,ethiopia,draw_115
Female,2.063833220929385,2,43.96396,ethiopia,draw_115
Male,2.3187816746369805,2,43.96396,ethiopia,draw_115
Female,1.9471791637193558,3,43.96396,ethiopia,draw_115
Male,1.9775144742652233,3,43.96396,ethiopia,draw_115
Female,2.059741883362576,2,44.07407,ethiopia,draw_115
Male,2.3142677916679792,2,44.07407,ethiopia,draw_115
Female,1.9441623058896105,3,44.07407,ethiopia,draw_115
Male,1.9747333553719633,3,44.07407,ethiopia,draw_115
Female,2.0556638556796765,2,44.18418,ethiopia,draw_115
Male,2.3097668620879777,2,44.18418,ethiopia,draw_115
Female,1.9411527606705672,3,44.18418,ethiopia,draw_115
Male,1.9719582749181315,3,44.18418,ethiopia,draw_115
Female,2.051599666995279,2,44.29429,ethiopia,draw_115
Male,2.3052789727107816,2,44.29429,ethiopia,draw_115
Female,1.938150331591002,3,44.29429,ethiopia,draw_115
Male,1.969189349482338,3,44.29429,ethiopia,draw_115
Female,2.0475493747142934,2,44.4044,ethiopia,draw_115
Male,2.3008041418791754,2,44.4044,ethiopia,draw_115
Female,1.9351553649908284,3,44.4044,ethiopia,draw_115
Male,1.966426491907082,3,44.4044,ethiopia,draw_115
Female,2.043512368273241,2,44.51451,ethiopia,draw_115
Male,2.2963423727508965,2,44.51451,ethiopia,draw_115
Female,1.9321668650650825,3,44.51451,ethiopia,draw_115
